from_node,to_node
0,29
0,44
0,49
0,51
0,59
0,84
0,99
1,26
1,35
1,67
1,69
1,70
1,79
1,85
1,91
1,93
1,99
2,5
2,36
2,49
2,55
2,65
3,12
3,17
3,23
3,25
3,29
3,39
3,54
3,55
3,59
3,61
3,72
3,76
3,84
3,96
4,1
4,8
4,15
4,25
4,54
4,57
4,68
4,90
4,96
5,23
5,25
5,32
5,36
5,48
5,59
5,62
5,70
5,81
5,85
6,4
6,12
6,18
6,30
6,46
6,94
7,1
7,6
7,11
7,14
7,27
7,39
7,46
7,64
7,67
7,74
7,79
7,83
8,6
8,13
8,14
8,16
8,35
8,37
8,53
8,58
8,74
8,76
8,79
8,92
9,0
9,3
9,7
9,8
9,19
9,26
9,46
9,64
9,69
9,89
9,96
10,6
10,13
10,28
10,37
10,40
10,52
10,65
10,66
10,70
10,71
10,94
10,97
11,4
11,23
11,25
11,40
11,68
11,73
11,78
11,98
12,16
12,42
12,50
12,61
12,68
12,75
12,80
13,11
13,14
13,16
13,57
13,84
13,89
13,98
14,1
14,10
14,13
14,23
14,53
14,61
14,63
14,66
14,79
14,83
15,6
15,44
15,61
15,63
15,65
15,73
15,74
15,75
15,92
15,94
15,98
16,1
16,6
16,14
16,19
16,21
16,29
16,40
16,43
16,47
16,58
16,79
16,90
16,91
17,14
17,21
17,41
17,42
17,44
17,45
17,51
17,56
17,64
17,67
17,74
17,77
17,82
17,88
17,89
17,99
18,2
18,5
18,12
18,24
18,36
18,58
18,60
18,70
18,86
18,92
18,98
19,4
19,7
19,34
19,38
19,54
19,57
19,61
19,97
20,2
20,22
20,25
20,36
20,37
20,42
20,51
20,64
20,66
20,98
21,20
21,33
21,42
21,50
21,53
21,58
21,61
21,62
21,98
22,3
22,18
22,39
22,66
22,71
22,84
23,34
23,36
23,52
23,54
23,59
23,68
23,72
23,77
23,82
24,10
24,36
24,40
24,49
24,56
24,58
24,70
24,74
24,76
24,84
24,86
24,97
24,98
25,2
25,8
25,15
25,22
25,45
25,49
25,57
25,79
25,80
25,86
25,88
25,99
26,14
26,22
26,28
26,30
26,35
26,42
26,46
27,5
27,23
27,26
27,42
27,46
27,90
27,95
28,34
28,36
28,52
28,59
28,62
28,79
29,0
29,11
29,16
29,45
29,46
29,53
29,59
29,63
29,70
29,71
29,78
29,79
29,83
29,89
29,91
29,96
30,6
30,29
30,40
30,62
30,67
30,80
30,85
30,99
31,7
31,10
31,11
31,12
31,19
31,39
31,57
31,63
31,90
31,94
31,96
32,11
32,40
32,49
32,87
33,6
33,12
33,17
33,28
33,29
33,31
33,55
33,58
33,62
33,64
33,70
33,74
33,82
33,89
33,98
34,1
34,4
34,9
34,28
34,31
34,44
34,53
34,67
34,78
34,86
34,88
34,94
35,0
35,7
35,8
35,18
35,42
35,58
35,60
35,69
36,11
36,15
36,17
36,40
36,56
36,58
36,98
37,21
37,27
37,51
37,59
37,62
37,70
37,78
37,86
37,88
37,95
37,97
38,8
38,34
38,43
38,60
38,79
38,89
38,96
39,25
39,62
39,69
39,87
40,4
40,19
40,25
40,29
40,34
40,52
40,54
40,70
40,94
40,95
41,7
41,8
41,14
41,25
41,34
41,40
41,60
41,83
41,89
41,91
41,93
41,98
42,4
42,12
42,30
42,49
42,67
42,68
42,71
42,85
42,93
43,9
43,25
43,51
43,56
43,63
43,65
43,72
43,99
44,20
44,35
44,40
44,50
44,63
44,65
44,74
44,75
44,76
45,10
45,15
45,40
45,51
45,67
45,68
45,69
45,70
45,88
46,4
46,5
46,6
46,11
46,27
46,39
46,66
46,70
46,75
46,88
47,7
47,13
47,17
47,20
47,24
47,31
47,37
47,51
47,73
47,85
47,86
48,23
48,37
48,64
48,70
48,78
48,80
48,86
49,1
49,23
49,31
49,37
49,40
49,48
49,98
49,99
50,6
50,18
50,21
50,22
50,32
50,45
50,86
50,95
50,96
50,98
51,2
51,7
51,16
51,37
51,43
51,45
51,52
51,62
51,66
51,79
51,91
51,99
52,28
52,35
52,36
52,40
52,47
52,94
52,97
53,7
53,9
53,12
53,21
53,28
53,34
53,37
53,40
53,44
53,47
53,50
53,62
53,79
53,92
53,94
53,95
53,96
54,9
54,10
54,20
54,26
54,67
54,70
54,72
54,86
55,0
55,4
55,8
55,46
55,52
55,82
55,83
55,85
55,97
56,7
56,11
56,13
56,24
56,26
56,31
56,37
56,51
56,52
56,61
56,85
57,0
57,8
57,28
57,38
57,48
57,49
57,53
57,74
57,87
57,95
57,98
58,10
58,21
58,24
58,62
58,65
58,77
58,88
59,4
59,7
59,16
59,21
59,24
59,31
59,40
59,71
59,80
59,98
60,6
60,20
60,24
60,39
60,40
60,41
60,65
60,73
60,82
61,7
61,23
61,31
61,34
61,47
61,49
61,74
61,78
61,90
62,1
62,10
62,11
62,19
62,27
62,30
62,79
62,87
62,97
63,1
63,12
63,15
63,18
63,24
63,29
63,36
63,47
63,52
63,58
63,59
63,62
63,64
63,85
63,95
64,1
64,3
64,10
64,23
64,32
64,36
64,37
64,41
64,45
64,51
64,52
64,65
64,89
64,93
64,99
65,5
65,22
65,23
65,39
65,51
65,58
65,60
65,69
65,74
65,80
66,6
66,17
66,27
66,29
66,35
66,49
66,68
66,70
66,80
66,97
67,19
67,26
67,41
67,61
67,85
68,12
68,22
68,27
68,34
68,41
68,53
68,57
68,64
68,95
68,97
69,9
69,10
69,16
69,22
69,25
69,37
69,43
69,50
69,51
69,56
69,65
69,70
69,75
70,19
70,20
70,24
70,25
70,40
70,49
70,69
70,84
70,99
71,2
71,11
71,20
71,38
71,39
71,43
71,45
71,52
71,54
71,65
71,67
71,69
71,75
71,88
71,91
71,94
71,97
72,1
72,24
72,34
72,42
72,47
72,85
72,90
73,3
73,4
73,8
73,10
73,19
73,20
73,27
73,41
73,43
73,48
73,52
73,63
73,78
73,82
74,11
74,32
74,40
74,53
74,59
74,67
74,97
75,5
75,9
75,14
75,26
75,42
75,60
75,61
75,71
75,86
75,87
75,88
76,2
76,9
76,24
76,43
76,56
76,67
76,69
76,70
76,71
76,73
76,75
76,91
77,27
77,54
77,88
77,89
78,9
78,10
78,15
78,16
78,66
78,80
78,82
78,84
78,94
78,96
79,0
79,11
79,21
79,31
79,38
79,45
79,56
80,19
80,44
80,47
80,52
80,55
80,63
80,96
81,10
81,15
81,18
81,20
81,28
81,30
81,44
81,49
81,51
81,56
81,60
81,61
81,65
81,66
81,78
81,80
81,82
81,93
82,1
82,40
82,42
82,44
82,60
82,95
82,97
83,6
83,9
83,18
83,27
83,31
83,47
83,69
83,78
83,85
83,86
83,93
84,3
84,50
84,58
84,60
84,81
85,15
85,20
85,28
85,57
85,61
85,68
85,69
85,72
85,95
86,6
86,10
86,16
86,18
86,23
86,41
86,51
86,76
86,84
86,85
86,89
86,97
87,7
87,14
87,21
87,23
87,48
87,85
87,97
88,11
88,16
88,39
88,51
88,52
88,56
88,64
88,81
88,85
88,86
88,94
89,7
89,17
89,20
89,55
89,73
89,95
90,7
90,10
90,20
90,21
90,62
90,78
90,85
90,86
90,91
90,99
91,1
91,6
91,15
91,20
91,28
91,30
91,31
91,38
91,51
91,56
91,62
92,22
92,38
92,41
92,43
92,46
92,53
92,54
92,58
92,65
92,79
92,94
93,7
93,20
93,27
93,31
93,34
93,39
93,40
93,44
93,46
93,48
93,56
93,77
93,83
94,1
94,6
94,7
94,9
94,28
94,34
94,42
94,43
94,46
94,50
94,61
95,1
95,10
95,16
95,18
95,43
95,51
95,58
95,60
95,80
95,98
95,99
96,0
96,6
96,22
96,58
96,72
96,77
96,80
96,90
97,0
97,1
97,14
97,21
97,24
97,52
97,53
97,62
97,73
97,84
97,85
97,86
97,92
98,11
98,20
98,24
98,53
98,55
98,67
98,82
98,95
98,97
99,6
99,13
99,18
99,28
99,46
99,47
99,49
99,51
99,64
99,68
99,71
99,74
99,77
99,83
99,85
99,90
99,94
