from_node,to_node
0,8
0,13
0,20
0,29
0,52
0,53
0,62
0,67
1,6
1,32
1,35
1,42
1,48
1,59
2,1
2,6
2,8
2,14
2,21
2,56
2,57
2,71
2,83
2,85
2,92
2,96
2,98
3,43
3,56
4,0
4,9
4,13
4,46
4,47
4,56
4,73
4,78
4,79
4,87
4,98
5,31
5,50
5,52
5,60
6,15
6,23
6,33
6,37
6,48
6,60
6,62
6,64
6,84
6,94
7,6
7,45
7,46
7,58
7,71
7,87
8,7
8,12
8,37
8,43
8,58
8,72
9,10
9,12
9,22
9,31
9,33
9,46
9,48
9,69
9,87
9,91
9,93
10,6
10,19
10,21
10,31
10,50
10,52
10,55
10,97
11,7
11,8
11,18
11,21
11,36
11,41
11,55
11,71
11,77
11,85
12,16
12,19
12,26
12,29
12,30
12,40
12,91
12,97
13,5
13,24
13,29
13,33
13,63
13,68
13,71
13,72
13,82
13,95
13,99
14,7
14,9
14,28
14,35
14,37
14,41
14,55
14,78
14,84
14,85
14,86
14,90
15,0
15,6
15,18
15,22
15,27
15,30
15,35
15,48
15,75
15,77
15,87
15,91
16,8
16,18
16,22
16,30
16,33
16,44
16,47
16,56
16,57
16,66
16,78
16,88
16,90
16,93
16,95
16,96
17,6
17,18
17,28
17,40
17,59
17,89
17,94
18,10
18,12
18,28
18,29
18,45
18,48
18,64
18,73
18,74
18,75
18,90
18,96
19,10
19,16
19,17
19,25
19,27
19,40
19,41
19,79
19,80
19,89
19,92
19,95
20,7
20,9
20,34
20,42
20,53
20,55
20,58
20,60
20,63
20,64
21,13
21,29
21,41
21,48
21,55
21,70
21,76
21,79
21,82
21,83
21,88
21,98
22,0
22,12
22,14
22,16
22,19
22,24
22,46
22,59
22,69
22,87
23,1
23,5
23,20
23,56
23,65
23,69
23,72
23,80
23,87
24,3
24,15
24,16
24,23
24,34
24,41
24,66
24,72
24,93
24,98
25,14
25,38
25,43
25,46
25,47
25,53
25,82
25,97
26,9
26,37
26,41
26,42
26,62
26,65
26,83
27,7
27,31
27,68
27,71
27,93
28,10
28,38
28,44
28,56
28,63
28,68
28,75
28,79
28,97
29,23
29,25
29,30
29,40
29,45
29,63
29,64
29,72
29,74
29,75
29,82
29,87
30,8
30,10
30,19
30,23
30,47
30,61
30,86
31,0
31,2
31,3
31,15
31,16
31,24
31,25
31,29
31,38
31,46
31,52
31,54
31,66
31,77
31,91
31,92
31,97
32,6
32,10
32,29
32,52
32,53
32,68
32,70
32,73
32,78
32,89
33,12
33,21
33,38
