from_node,to_node
0,32
0,47
0,66
0,95
1,0
3,84
5,13
7,53
8,65
9,60
11,54
11,59
11,88
13,36
13,48
15,24
16,5
17,36
17,94
18,59
21,31
22,73
24,30
24,59
30,12
32,2
32,48
32,75
32,86
34,46
34,63
34,95
36,26
36,39
36,48
37,29
37,78
38,30
39,25
39,50
39,53
41,79
41,94
42,60
43,48
45,30
45,50
46,2
46,54
46,82
47,65
48,78
48,86
51,58
53,31
55,36
56,13
56,46
56,98
57,89
58,64
62,4
62,37
62,51
62,73
63,65
64,40
64,91
66,97
67,29
67,39
67,92
69,38
69,93
70,18
71,39
75,13
75,47
75,66
75,89
76,41
76,68
76,89
77,41
78,8
78,33
79,32
81,15
81,20
83,2
83,32
84,14
85,20
86,25
86,74
90,37
90,84
91,23
94,6
95,58
96,43
96,85
97,62
99,7
99,31
99,46
