from_node,to_node
0,75
0,89
1,8
3,12
6,18
6,76
8,6
10,34
11,3
11,37
11,46
14,70
15,8
16,55
16,80
18,80
19,80
20,22
21,71
22,2
25,30
25,81
26,67
26,97
33,21
34,46
36,95
37,70
40,60
41,31
43,40
44,2
44,95
46,27
46,69
48,13
49,99
51,10
51,73
55,6
55,54
56,4
56,43
63,75
64,77
65,86
66,76
67,4
69,56
69,76
71,63
71,98
72,7
74,72
75,0
75,25
75,49
76,79
77,49
77,64
78,17
78,24
79,53
80,83
80,84
81,40
83,24
84,1
84,22
84,65
86,57
87,20
88,55
89,41
90,0
91,5
91,46
92,8
93,12
95,62
98,67
98,69
98,90
99,14
