from_node,to_node
4,637
6,210
17,381
19,956
33,275
34,15
48,165
51,835
54,519
55,172
67,437
71,983
72,390
72,907
77,652
80,669
81,397
100,852
104,27
112,10
114,384
126,193
138,501
141,446
144,402
158,731
159,312
163,771
179,830
207,741
226,482
256,670
260,243
269,474
272,24
306,49
308,402
319,148
320,574
322,160
325,216
338,109
338,839
339,863
341,20
341,301
346,529
364,229
369,309
383,630
390,592
391,911
406,331
419,326
428,502
435,108
442,70
447,658
450,41
455,996
460,954
465,952
469,297
471,265
471,466
472,426
491,324
511,487
513,718
523,964
526,458
528,106
536,779
554,923
562,231
575,615
585,552
586,955
587,621
602,462
606,648
614,72
619,249
632,219
635,484
640,846
651,293
651,943
660,537
667,659
671,900
673,35
680,536
691,862
693,652
698,152
702,274
710,698
712,759
714,744
718,64
718,937
721,409
726,819
731,660
750,882
754,942
767,560
783,228
785,204
787,312
788,836
810,411
822,905
833,781
841,502
853,579
872,759
876,678
877,526
880,106
902,721
904,988
912,318
915,218
916,688
926,942
931,463
934,753
935,678
957,291
963,760
978,225
984,894
989,169
997,518
