from_node,to_node
3,409
4,359
31,588
46,871
55,104
61,819
69,790
71,473
74,196
85,564
87,262
111,986
122,213
123,994
127,997
135,955
148,982
149,103
149,403
152,317
158,706
160,123
164,185
170,797
195,170
204,380
208,355
218,614
236,535
248,181
252,438
255,899
263,14
267,943
286,103
295,301
312,260
321,121
333,327
333,847
341,992
342,629
363,245
375,106
383,318
385,675
390,235
401,977
404,861
406,46
406,409
408,329
416,265
423,804
429,357
444,96
466,890
470,208
480,743
482,655
483,711
491,548
499,797
501,518
502,323
515,675
517,799
519,646
532,580
543,768
557,232
560,555
563,516
566,465
568,110
570,170
570,507
589,878
600,194
601,6
609,878
613,121
616,640
635,879
639,638
644,192
652,546
678,298
693,88
713,741
716,118
726,816
730,131
731,57
736,399
755,284
759,818
782,62
782,628
794,926
800,292
827,311
827,992
842,131
848,774
850,434
851,341
862,623
863,753
881,691
888,227
889,37
913,989
919,339
926,977
940,98
952,892
954,977
957,244
993,478
998,202
