from_node,to_node
0,11
1,29
1,146
3,190
5,123
5,150
6,10
6,127
7,0
7,176
8,80
8,86
10,172
12,35
12,38
12,74
12,88
13,70
13,160
13,195
14,62
16,12
16,130
17,149
20,157
20,159
20,186
21,181
22,161
23,194
24,176
25,59
31,110
36,73
36,156
36,161
39,136
39,186
40,104
42,40
42,144
42,180
45,66
48,10
48,74
48,139
49,42
51,85
53,96
54,67
56,96
56,117
58,103
60,82
60,126
61,18
62,11
62,20
62,102
63,150
66,194
66,196
67,42
68,45
68,85
69,147
69,182
71,70
71,131
71,157
71,161
72,120
73,143
76,88
76,171
77,52
77,144
77,172
79,161
79,177
81,184
81,195
82,133
82,142
86,163
87,16
87,176
88,3
89,46
89,177
90,26
90,111
90,176
91,21
91,55
91,96
92,55
92,175
95,136
96,85
97,189
98,5
99,186
100,184
101,126
103,88
104,173
105,177
105,188
106,185
107,0
108,14
108,23
108,63
110,126
111,119
111,158
114,24
115,22
116,78
119,59
120,62
122,169
122,194
124,77
125,115
126,125
127,47
127,98
128,66
128,120
130,32
130,85
130,124
132,135
132,183
133,24
133,93
134,62
135,179
136,147
138,156
140,9
140,198
141,26
142,166
143,165
144,103
150,123
150,180
151,116
153,82
153,89
154,81
155,106
157,162
159,185
162,10
163,61
163,96
163,162
165,97
166,139
168,179
170,134
171,154
172,128
172,149
173,71
175,90
176,40
176,173
177,49
179,81
181,90
182,116
185,52
185,114
187,49
188,194
189,41
189,132
189,133
189,166
190,154
191,67
192,71
193,192
194,138
194,150
196,28
196,54
196,76
197,138
199,51
199,107
