fp,sim_re,p_re,in_deg
0.3379612048389701,0.28,0.3446275182236419,9.0
0.5608595636640199,0.52,0.546657209319522,5.0
0.22932938178782603,0.25,0.2260871661068324,11.0
0.10437922673697042,0.09,0.11198540827341247,6.0
0.41334598094207264,0.43,0.4039021398747801,7.0
0.29075894348656994,0.29,0.2966219667157068,11.0
0.09165742678163202,0.13,0.09943715635962323,13.0
0.5737192061948341,0.61,0.560806811620053,7.0
0.2901521691614882,0.3,0.29958226939478894,8.0
0.719803124108753,0.76,0.7121416045684467,11.0
0.12713024435521947,0.12,0.1357683471694126,8.0
0.10766860127453459,0.12,0.12726671744789586,6.0
0.45941167211281675,0.45,0.4719642181039116,10.0
0.13439069460649122,0.18,0.1451503223915177,8.0
0.5656103276240614,0.58,0.5448063868628396,12.0
0.11449887027995065,0.14,0.12681982128523128,12.0
0.586635390989267,0.59,0.5663873280142361,7.0
0.2257604048274896,0.26,0.23023270211443125,7.0
0.3868808082949067,0.38,0.39045237311162273,14.0
0.26189070022117233,0.23,0.26901383784644967,9.0
0.16773496642460517,0.19,0.1694692206255298,11.0
0.15371874230773497,0.13,0.15610333168285265,9.0
0.25661207164473543,0.32,0.27703627793643476,8.0
0.14048828054428686,0.15,0.15272889503187748,11.0
0.2371849677221355,0.22,0.26338848645141744,12.0
0.11604997313978693,0.09,0.12843401332943163,8.0
0.12447641342399396,0.14,0.1337733061784438,13.0
0.5176107135014567,0.53,0.4973562324645915,8.0
0.696535722898912,0.74,0.688288605309,15.0
0.3507643373415221,0.28,0.362579952937587,12.0
0.3722039494470285,0.39,0.3698147378156712,14.0
0.06921710559990235,0.07,0.08086813192092204,12.0
0.4608272787988873,0.48,0.4714475358492303,5.0
0.29147495632487586,0.28,0.28766515355223404,12.0
0.0400702776748062,0.05,0.04348570467436454,12.0
0.5291969292494856,0.54,0.5237132680617369,11.0
0.23558111976076546,0.29,0.24990805663033322,9.0
0.5887327733553157,0.6,0.5727672450253243,7.0
0.5683627524249223,0.57,0.5753690387067987,8.0
0.7171266210877988,0.71,0.6889722683509945,8.0
0.26786602508104695,0.28,0.26900223605202594,13.0
0.05363989363348054,0.08,0.059198403144209814,9.0
0.6659468963578654,0.72,0.6635849018867996,8.0
0.2463690064237527,0.26,0.2434767616165301,7.0
0.5482886101786393,0.49,0.5648417943078169,10.0
0.3554595343754581,0.41,0.3618406344175797,9.0
0.07074153237533698,0.12,0.07952180867287933,7.0
0.5839022988775975,0.44,0.5774556995602623,13.0
0.3242460748669068,0.31,0.3365768455788313,9.0
0.09083477427673459,0.12,0.09501913159843932,13.0
0.11391651022488847,0.12,0.11831999264617966,15.0
0.16315053570726967,0.19,0.1857498027723341,6.0
0.19278722140372273,0.25,0.21344761717509464,7.0
0.22190546354480034,0.26,0.2389707784606138,11.0
0.27537235079094713,0.32,0.2950842895098393,11.0
0.5146398571894896,0.52,0.5019094353839619,9.0
0.22092569343633417,0.25,0.22842344291355482,9.0
0.7297869335107363,0.69,0.7088176203955874,6.0
0.43637225233512655,0.49,0.45775034068421727,13.0
0.1953533995670036,0.23,0.20861822249162013,8.0
0.11258230112402523,0.11,0.11861462999274183,13.0
0.5811627734426301,0.51,0.5683735751548048,9.0
0.05128436837757855,0.06,0.05796452334888372,13.0
0.3601220403766995,0.4,0.38207491366815616,9.0
0.0745635173532786,0.1,0.08320045775773721,10.0
0.2639585165864967,0.3,0.28075214053696074,8.0
0.07928383390038674,0.08,0.08614840671973065,14.0
0.7135216781316769,0.68,0.7084571394865723,14.0
0.19707763262730194,0.21,0.19958716359386963,10.0
0.07496828570013903,0.07,0.0738782502325601,12.0
0.07112010588272144,0.1,0.07807871940210548,11.0
0.10886385945180765,0.14,0.10925987487835322,12.0
0.49306094113923715,0.38,0.4817112456322888,10.0
0.047614008320981616,0.04,0.04997109672322684,11.0
0.0911869808499347,0.09,0.0997092598401049,15.0
0.6330661677320137,0.68,0.6025995349571616,13.0
0.1271494408930678,0.12,0.139646007127431,10.0
0.6188462073119678,0.59,0.6166974841091035,11.0
0.1282327816711133,0.15,0.13343978299886994,11.0
0.3270056261745319,0.34,0.32077978952314773,11.0
0.09422874464976916,0.08,0.09755381244625169,10.0
0.1791356708338434,0.19,0.1938722572916621,14.0
0.0970368643786933,0.09,0.1113799319540246,15.0
0.6504386476209558,0.64,0.6504890150975495,8.0
0.1634723274704899,0.14,0.16366396937763944,11.0
0.5825456147398683,0.58,0.5841988064645048,11.0
0.1046072407500418,0.1,0.10723764318386436,7.0
0.20712775490666568,0.26,0.22706559596475878,6.0
0.28480508091161083,0.22,0.2715764448480885,12.0
0.0821709706230963,0.1,0.08915817752564471,9.0
0.5981419202240912,0.67,0.5836031072078547,15.0
0.5300334504595804,0.41,0.5130438111343437,6.0
0.06552773544643087,0.07,0.06647909189782993,17.0
0.4972693515551647,0.47,0.49755707439222335,10.0
0.7326616856973671,0.66,0.7270407655675186,6.0
0.34455708096663085,0.36,0.35327277129874074,11.0
0.4855019963027335,0.46,0.4854223093983653,10.0
0.1837840455975327,0.14,0.2002678803482186,6.0
0.16214517131909545,0.21,0.18364953887285182,8.0
0.16016284168674366,0.17,0.16351766513609406,13.0
