from_node,to_node
0,6
0,7
0,8
0,13
0,22
0,23
0,26
0,30
0,34
0,35
0,56
0,58
0,89
0,98
0,108
0,111
0,112
0,122
0,130
0,132
0,142
0,147
0,179
0,180
0,194
0,195
1,4
1,15
1,16
1,18
1,25
1,43
1,44
1,46
1,54
1,55
1,56
1,64
1,65
1,78
1,86
1,117
1,128
1,132
1,134
1,139
1,145
1,147
1,149
1,170
1,172
1,173
1,180
1,191
1,193
2,45
2,51
2,78
2,86
2,103
2,130
2,135
2,197
2,198
3,4
3,19
3,24
3,34
3,56
3,72
3,79
3,84
3,101
3,112
3,115
3,122
3,128
3,131
3,144
3,148
3,168
3,189
4,0
4,1
4,19
4,36
4,37
4,56
4,79
4,81
4,92
4,107
4,114
4,120
4,125
4,127
4,168
4,170
4,175
4,179
4,182
4,184
4,195
4,198
5,7
5,16
5,22
5,52
5,79
5,86
5,88
5,101
5,103
5,160
5,161
5,163
5,165
5,167
5,180
5,187
5,189
5,193
5,194
5,197
6,24
6,32
6,34
6,44
6,53
6,56
6,58
6,67
6,75
6,86
6,89
6,104
6,118
6,126
6,129
6,135
6,158
6,159
7,21
7,24
7,55
7,67
7,78
7,82
7,100
7,111
7,115
7,119
7,121
7,126
7,134
7,141
7,148
7,155
7,159
7,173
7,185
7,187
8,19
8,21
8,32
8,38
8,52
8,66
8,78
8,83
8,104
8,105
8,118
8,121
8,122
8,127
8,130
8,143
8,144
8,153
8,198
9,0
9,3
9,17
9,35
9,43
9,49
9,61
9,62
9,63
9,68
9,79
9,95
9,113
9,118
9,127
9,152
9,160
9,163
9,173
9,176
9,185
9,190
9,192
10,11
10,18
10,38
10,43
10,56
10,61
10,67
10,70
10,125
10,147
10,183
10,186
10,196
10,198
11,3
11,13
11,19
11,34
11,53
11,64
11,105
11,109
11,115
11,117
11,133
11,137
11,151
11,153
11,155
11,158
11,161
11,175
12,1
12,3
12,17
12,25
12,42
12,64
12,70
12,129
12,148
12,160
12,168
12,169
12,170
12,183
13,3
13,49
13,54
13,57
13,103
13,114
13,116
13,117
13,123
13,140
13,156
13,163
13,184
13,191
14,7
14,8
14,10
14,35
14,44
14,48
14,50
14,65
14,69
14,75
14,76
14,126
14,134
14,137
14,166
14,179
14,187
14,193
15,43
15,47
15,48
15,67
15,70
15,74
15,81
15,84
15,89
15,116
15,118
15,150
15,163
15,183
15,190
15,197
16,3
16,9
16,32
16,50
16,60
16,69
16,82
16,94
16,102
16,106
16,113
16,116
16,127
16,132
16,141
16,155
16,158
16,159
16,190
16,192
16,199
17,21
17,30
17,35
17,47
17,54
17,69
17,79
17,81
17,97
17,98
17,103
17,114
17,116
17,120
17,122
17,161
17,179
17,194
17,199
18,1
18,14
18,31
18,37
18,47
18,50
18,64
18,66
18,72
18,74
18,75
18,81
18,107
18,117
18,126
18,133
18,169
18,171
18,178
18,180
19,0
19,6
19,9
19,15
19,17
19,26
19,76
19,81
19,89
19,91
19,112
19,115
19,128
19,149
19,156
19,171
19,175
19,181
19,185
19,191
19,195
19,196
19,197
20,6
20,16
20,31
20,33
20,37
20,43
20,50
20,51
20,76
20,85
20,93
20,98
20,103
20,105
20,121
20,123
20,136
20,139
20,150
20,152
20,159
20,172
20,186
20,191
21,12
21,18
21,20
21,38
21,45
21,53
21,58
21,77
21,84
21,92
21,94
21,99
21,104
21,121
21,126
21,132
21,139
21,142
21,151
21,156
21,165
21,183
22,26
22,27
22,34
22,36
22,47
22,48
22,50
22,69
22,89
22,111
22,172
22,174
22,183
22,184
22,188
22,192
23,0
23,1
23,5
23,9
23,30
23,40
23,58
23,61
23,69
23,81
23,83
23,106
23,111
23,115
23,135
23,139
23,147
23,159
24,9
24,18
24,19
24,22
24,36
24,38
24,39
24,46
24,51
24,62
24,65
24,70
24,76
24,91
24,93
24,98
24,112
24,118
24,150
24,154
24,172
24,175
24,181
25,8
25,24
25,27
25,31
25,33
25,38
25,51
25,57
25,82
25,91
25,112
25,114
25,116
25,117
25,122
25,124
25,144
25,145
25,153
25,156
25,170
25,171
25,178
25,186
25,192
25,196
26,16
26,36
26,50
26,55
26,57
26,62
26,70
26,80
26,83
26,87
26,100
26,114
26,119
26,125
26,126
26,130
26,131
26,148
26,155
26,166
26,174
26,180
26,187
26,197
27,14
27,79
27,89
27,95
27,113
27,115
27,120
27,129
27,132
27,138
27,142
27,156
27,170
27,177
27,186
27,198
28,6
28,14
28,24
28,27
28,45
28,49
28,68
28,70
28,113
28,120
28,128
28,138
28,141
28,150
28,151
28,167
28,186
28,188
28,199
29,10
29,13
29,38
29,44
29,46
29,49
29,51
29,69
29,73
29,74
29,77
29,102
29,104
29,115
29,124
29,131
29,140
29,150
29,152
29,160
29,170
29,173
29,180
30,1
30,3
30,4
30,12
30,21
30,52
30,69
30,84
30,108
30,114
30,124
30,134
30,137
30,143
30,147
30,156
30,168
30,185
30,191
31,2
31,10
31,13
31,15
31,28
31,35
31,42
31,57
31,58
31,62
31,63
31,66
31,73
31,78
31,102
31,119
31,131
31,134
31,154
31,155
31,173
31,175
31,182
31,197
32,4
32,13
32,15
32,16
32,22
32,47
32,61
32,77
32,94
32,106
32,132
32,146
32,194
33,0
33,16
33,20
33,26
33,57
33,63
33,70
33,90
33,94
33,97
33,98
33,102
33,106
33,131
33,166
33,179
33,181
33,188
34,18
34,29
34,49
34,59
34,80
34,88
34,108
34,120
34,132
34,142
34,162
34,164
34,197
34,199
35,17
35,20
35,36
35,37
35,39
35,41
35,76
35,77
35,83
35,89
35,101
35,107
35,120
35,144
35,150
35,151
35,154
35,173
35,179
35,182
36,0
36,40
36,57
36,66
36,70
36,86
36,87
36,95
36,103
36,117
36,122
36,124
36,127
36,130
36,137
36,164
36,181
36,183
37,3
37,5
37,11
37,15
37,24
37,36
37,40
37,56
37,61
37,66
37,75
37,77
37,81
37,92
37,100
37,120
37,121
37,123
37,133
37,134
37,144
37,167
37,168
37,171
38,0
38,37
38,50
38,55
38,64
38,88
38,91
38,100
38,107
38,119
38,126
38,129
38,152
38,184
39,20
39,21
39,28
39,41
39,55
39,74
39,80
39,82
39,115
39,134
39,143
39,147
39,181
39,190
39,191
39,195
39,197
40,3
40,5
40,16
40,24
40,35
40,38
40,43
40,49
40,63
40,72
40,74
40,108
40,112
40,117
40,120
40,135
40,140
40,176
40,177
40,179
40,192
41,7
41,10
41,11
41,18
41,22
41,35
41,52
41,55
41,64
41,81
41,82
41,105
41,111
41,113
41,116
41,131
41,132
41,136
41,147
41,194
41,195
41,199
42,8
42,11
42,25
42,32
42,44
42,46
42,71
42,74
42,78
42,85
42,86
42,101
42,106
42,107
42,127
42,128
42,134
42,135
42,137
42,176
42,181
42,197
43,11
43,23
43,28
43,34
43,39
43,47
43,89
43,94
43,112
43,113
43,152
43,158
43,169
43,171
43,177
43,197
44,21
44,23
44,34
44,37
44,59
44,65
44,73
44,88
44,99
44,119
44,122
44,123
44,140
44,141
44,144
44,154
44,156
44,158
44,159
44,172
44,193
45,8
45,14
45,18
45,24
45,44
45,46
45,47
45,48
45,51
45,52
45,59
45,67
45,69
45,76
45,126
45,135
45,148
45,150
45,151
45,158
45,164
45,176
45,199
46,6
46,9
46,17
46,20
46,43
46,55
46,61
46,63
46,71
46,75
46,103
46,115
46,120
46,139
46,142
46,153
46,171
46,172
46,183
46,188
47,2
47,18
47,24
47,49
47,57
47,58
47,66
47,76
47,96
47,97
47,103
47,107
47,108
47,123
47,126
47,138
47,154
47,159
47,161
47,164
47,185
47,191
48,4
48,53
48,61
48,68
48,81
48,85
48,104
48,108
48,114
48,149
48,155
48,157
48,158
48,162
48,184
48,193
48,196
49,1
49,4
49,13
49,16
49,19
49,33
49,37
49,41
49,44
49,52
49,53
49,67
49,83
49,85
49,86
49,107
49,108
49,109
49,118
49,133
49,147
49,155
49,156
49,193
50,6
50,14
50,23
50,26
50,28
50,46
50,54
50,56
50,64
50,67
50,86
50,87
50,88
50,96
50,123
50,149
50,165
50,186
51,6
51,13
51,24
51,30
51,39
51,41
51,55
51,58
51,69
51,76
51,81
51,96
51,103
51,117
51,131
51,139
51,145
51,146
51,151
51,156
51,170
51,182
51,198
52,4
52,13
52,54
52,62
52,66
52,73
52,77
52,78
52,83
52,84
52,86
52,92
52,110
52,164
52,171
52,177
52,186
53,3
53,13
53,19
53,22
53,33
53,54
53,55
53,56
53,77
53,86
53,95
53,96
53,102
53,127
53,146
53,147
53,156
53,158
53,159
53,178
53,193
53,196
54,13
54,28
54,33
54,38
54,47
54,52
54,56
54,65
54,69
54,85
54,90
54,155
54,163
54,166
54,167
54,184
54,192
55,5
55,13
55,17
55,18
55,19
55,27
55,30
55,31
55,43
55,57
55,73
55,84
55,101
55,132
55,139
55,143
55,154
55,167
55,173
56,5
56,27
56,30
56,37
56,39
56,43
56,47
56,53
56,54
56,59
56,64
56,74
56,81
56,82
56,92
56,117
56,118
56,121
56,158
56,178
56,181
56,182
56,186
56,190
57,2
57,25
57,38
57,42
57,54
57,55
57,58
57,77
57,80
57,87
57,99
57,113
57,123
57,143
57,146
57,158
57,160
57,164
57,182
57,197
58,4
58,7
58,12
58,23
58,24
58,33
58,57
58,61
58,62
58,86
58,111
58,114
58,118
58,123
58,134
58,136
58,143
58,160
58,166
58,186
58,189
58,199
59,20
59,39
59,48
59,62
59,76
59,80
59,92
59,95
59,109
59,120
59,123
59,126
59,129
59,136
59,144
59,155
59,158
59,159
59,164
59,165
59,170
59,176
59,194
60,4
60,7
60,13
60,14
60,45
60,53
60,68
60,75
60,76
60,91
60,96
60,114
60,132
60,150
60,159
60,162
60,175
60,176
60,198
61,3
61,11
61,15
61,55
61,75
61,95
61,100
61,107
61,124
61,126
61,152
61,154
61,175
61,177
61,182
61,184
62,15
62,36
62,44
62,57
62,66
62,82
62,92
62,107
62,113
62,141
62,164
62,178
62,181
62,185
62,186
62,191
62,199
63,0
63,13
63,27
