from_node,to_node
0,6
0,7
0,10
0,11
0,12
0,18
1,4
1,5
1,9
1,10
1,12
1,17
1,19
2,0
2,6
2,8
2,10
2,13
2,14
2,15
2,16
2,17
2,18
2,19
3,0
3,2
3,4
3,9
3,11
3,14
3,16
3,18
3,19
4,0
4,3
4,5
4,8
4,9
4,10
4,13
4,14
4,18
4,19
5,2
5,4
5,7
5,8
5,11
5,13
5,14
5,15
5,18
5,19
6,0
6,1
6,3
6,8
6,9
6,10
6,17
7,1
7,4
7,6
7,15
7,16
7,18
8,1
8,4
8,6
8,9
8,11
8,16
8,19
9,0
9,1
9,2
9,3
9,7
9,8
9,10
9,13
9,14
9,16
9,17
9,18
10,2
10,6
10,8
10,9
10,17
10,18
10,19
11,1
11,2
11,3
11,4
11,5
11,6
11,9
11,14
11,15
11,17
12,0
12,1
12,7
12,9
12,10
12,11
12,14
12,15
12,16
12,19
13,0
13,1
13,3
13,4
13,9
13,10
13,14
13,18
14,3
14,4
14,6
14,7
14,11
14,12
14,13
14,16
14,17
14,18
15,5
15,10
15,13
15,14
15,16
16,5
16,6
16,8
16,9
16,12
16,14
16,15
16,19
17,5
17,6
17,8
17,9
17,10
17,12
17,13
17,18
18,3
18,4
18,8
18,11
18,12
18,13
18,14
18,15
18,16
18,17
19,1
19,2
19,3
19,5
19,6
19,9
19,14
19,15
19,16
19,17
