fp,sim_re,p_re,in_deg
0.20720664045161885,0.18,0.2238071973484412,13.0
0.481840066066321,0.47,0.4864149003336326,14.0
0.5356384101597681,0.56,0.537446514713271,14.0
0.31365331455452294,0.31,0.3232755070344394,12.0
0.7636172304677644,0.72,0.7659597045042296,17.0
0.1326671864689395,0.09,0.13665272515442198,18.0
0.1002067933586912,0.08,0.1084472996388504,13.0
0.39490242712238066,0.39,0.415569245332866,16.0
0.7996478096451456,0.8,0.7908376666507745,16.0
0.38633176487632404,0.27,0.3999595081403279,16.0
0.2631255952091075,0.3,0.2791562869182148,16.0
0.4147391459851706,0.44,0.4111055407198456,14.0
0.09063703651811472,0.11,0.0992776103655467,18.0
0.7371582951803239,0.76,0.7285340408171288,16.0
0.43692291558670693,0.45,0.4540350161259134,18.0
0.6043638051606197,0.61,0.6022963309545485,13.0
0.4436465056748846,0.45,0.4452314352746333,19.0
0.1464129403065617,0.24,0.16435412992974383,14.0
0.6782072136599132,0.65,0.6799816900264779,14.0
0.2256694899040863,0.32,0.22909413315420882,16.0
0.7613452625941206,0.73,0.749471590272128,16.0
0.09993077847095821,0.08,0.10688771758163218,18.0
0.5418157097708249,0.69,0.5490985042223897,17.0
0.6674317780131563,0.7,0.6688572469317132,18.0
0.12300419410825081,0.16,0.1364185789446306,13.0
0.09128071762739709,0.08,0.09302117359174922,15.0
0.20673318771865845,0.23,0.21322209495655856,20.0
0.7722706417619698,0.75,0.7684283531912339,12.0
0.13152707337223213,0.16,0.14084457940206285,16.0
0.858406359614409,0.83,0.8500812264081751,13.0
0.22228572924261436,0.26,0.23254126269072203,17.0
0.13699083825319425,0.14,0.14437821106841736,18.0
0.7599467122498518,0.77,0.7641330893112448,19.0
0.6603513799657246,0.68,0.6455346077888683,17.0
0.6976656120511984,0.7,0.691386194817856,17.0
0.7618873149435449,0.75,0.7658499366704884,21.0
0.6851042329031344,0.73,0.6845585548412445,17.0
0.32465671242081107,0.39,0.3253173357935532,16.0
0.7186657131343566,0.74,0.7074056270319947,16.0
0.2049779326764195,0.12,0.21417732065718498,16.0
0.1880636819174849,0.13,0.19598053747991664,20.0
0.665714537732087,0.62,0.6691275199754902,16.0
0.8243270980840604,0.83,0.8190295947840872,11.0
0.12237440499765395,0.15,0.13270093534140298,14.0
0.5311806314411541,0.49,0.527665337007134,9.0
0.49034372016505845,0.49,0.49892728118323737,14.0
0.16803592373325327,0.14,0.1802589150443289,13.0
0.07589788726733793,0.09,0.0817255580671829,14.0
0.7734677744635767,0.78,0.7637626164186507,16.0
0.25030532590355936,0.21,0.25467854566545006,22.0
