from_node,to_node
0,64
0,82
0,102
0,149
0,153
0,160
0,165
0,166
0,202
0,280
0,295
0,314
0,321
0,353
0,359
0,369
0,382
0,390
0,477
0,483
0,501
0,559
0,585
0,591
0,620
0,707
0,719
0,745
0,763
0,778
0,794
0,810
0,834
0,848
0,864
0,873
0,881
0,909
0,914
0,915
0,932
1,78
1,96
1,110
1,196
1,227
1,230
1,251
1,275
1,285
1,315
1,328
1,351
1,387
1,395
1,415
1,418
1,451
1,520
1,529
1,548
1,572
1,588
1,604
1,649
1,674
1,677
1,683
1,684
1,694
1,703
1,718
1,720
1,747
1,753
1,770
1,773
1,775
1,784
1,785
1,803
1,837
1,849
1,861
1,875
1,914
1,923
1,943
1,947
1,951
1,970
1,984
1,994
1,998
2,4
2,29
2,36
2,74
2,75
2,89
2,103
2,134
2,147
2,165
2,167
2,185
2,205
2,247
2,256
2,267
2,272
2,278
2,303
2,342
2,379
2,424
2,435
2,452
2,457
2,521
2,560
2,562
2,592
2,613
2,631
2,640
2,644
2,666
2,669
2,671
2,675
2,710
2,788
2,815
2,828
2,837
2,841
2,844
2,848
2,852
2,873
2,895
2,905
2,943
2,956
2,967
2,971
3,9
3,71
3,77
3,82
3,96
3,97
3,104
3,107
3,126
3,136
3,138
3,168
3,193
3,217
3,223
3,234
3,299
3,304
3,328
3,388
3,397
3,411
3,416
3,419
3,435
3,484
3,499
3,502
3,505
3,517
3,556
3,572
3,595
3,626
3,640
3,653
3,707
3,725
3,744
3,753
3,847
3,871
3,906
3,915
3,965
4,74
4,81
4,85
4,153
4,156
4,157
4,172
4,193
4,317
4,334
4,355
4,375
4,395
4,450
4,452
4,473
4,494
4,496
4,500
4,512
4,514
4,585
4,663
4,709
4,742
4,756
4,757
4,796
4,824
4,855
4,896
4,917
4,946
4,952
4,975
4,995
5,7
5,12
5,31
5,59
5,68
5,76
5,79
5,160
5,166
5,190
5,202
5,218
5,311
5,331
5,360
5,395
5,446
5,452
5,453
5,454
5,469
5,476
5,501
5,507
5,510
5,514
5,526
5,539
5,558
5,571
5,575
5,689
5,745
5,757
5,774
5,791
5,813
5,828
5,863
5,867
5,908
5,910
5,938
5,986
6,15
6,23
6,38
6,57
6,84
6,140
6,145
6,152
6,168
6,236
6,257
6,328
6,360
6,366
6,389
6,418
6,457
6,468
6,483
6,563
6,567
6,570
6,580
6,585
6,603
6,604
6,610
6,612
6,641
6,686
6,689
6,697
6,709
6,711
6,783
6,818
6,832
6,836
6,841
6,861
6,880
6,969
7,43
7,58
7,103
7,143
7,159
7,165
7,235
7,269
7,275
7,295
7,297
7,305
7,315
7,351
7,370
7,397
7,404
7,440
7,447
7,477
7,524
7,568
7,569
7,571
7,602
7,648
7,713
7,714
7,769
7,777
7,801
7,809
7,814
7,841
7,862
7,884
7,895
7,933
7,952
7,984
8,25
8,56
8,91
8,98
8,126
8,147
8,179
8,231
8,238
8,252
8,256
8,277
8,288
8,348
8,366
8,408
8,419
8,433
8,437
8,442
8,468
8,482
8,485
8,505
8,563
8,585
8,608
8,631
8,668
8,669
8,672
8,689
8,734
8,743
8,759
8,761
8,771
8,773
8,774
8,787
8,789
8,792
8,812
8,819
8,822
8,825
8,837
8,887
8,895
8,943
8,971
8,992
9,10
9,47
9,51
9,62
9,64
9,86
9,162
9,209
9,210
9,214
9,257
9,264
9,278
9,284
9,303
9,310
9,349
9,357
9,438
9,440
9,458
9,466
9,476
9,489
9,508
9,533
9,571
9,596
9,599
9,621
9,635
9,643
9,657
9,701
9,702
9,757
9,784
9,814
9,861
9,863
9,901
9,908
9,939
9,964
9,974
10,25
10,37
10,52
10,67
10,103
10,160
10,174
10,239
10,252
10,258
10,277
10,295
10,310
10,342
10,394
10,397
10,401
10,410
10,417
10,427
10,442
10,456
10,560
10,606
10,626
10,634
10,686
10,688
10,737
10,748
10,796
10,801
10,805
10,839
10,843
10,872
10,883
10,890
10,906
10,920
11,44
11,92
11,94
11,134
11,159
11,185
11,196
11,203
11,207
11,213
11,228
11,235
11,258
11,269
11,279
11,348
11,382
11,412
11,490
11,508
11,545
11,616
11,627
11,657
11,688
11,691
11,843
11,853
11,854
11,884
11,892
11,915
11,932
11,937
11,944
11,955
11,968
11,977
11,987
12,45
12,73
12,88
12,129
12,144
12,160
12,164
12,168
12,203
12,212
12,213
12,233
12,236
12,241
12,245
12,264
12,279
12,297
12,328
12,337
12,374
12,379
12,439
12,517
12,550
12,565
12,577
12,610
12,626
12,636
12,638
12,657
12,659
12,685
12,687
12,693
12,697
12,699
12,737
12,741
12,753
12,780
12,813
12,844
12,853
12,872
12,894
12,925
12,937
12,939
12,941
12,960
13,50
13,68
13,73
13,77
13,84
13,100
13,171
13,214
13,220
13,264
13,287
13,351
13,352
13,385
13,398
13,409
13,412
13,413
13,414
13,445
13,449
13,460
13,479
13,490
13,504
13,509
13,527
13,540
13,566
13,580
13,602
13,629
13,650
