from_node,to_node
0,29
0,251
0,320
0,349
0,585
0,631
0,936
0,944
1,137
1,160
1,214
1,662
1,768
1,889
1,920
1,928
1,976
2,83
2,104
2,157
2,203
2,224
2,449
2,688
2,724
2,922
2,925
2,997
3,331
3,343
3,607
3,632
3,640
3,651
3,744
3,945
4,60
4,155
4,180
4,390
4,416
4,431
4,536
4,572
4,631
4,642
4,910
5,282
5,385
5,400
5,460
5,478
5,479
5,816
5,910
5,965
6,64
6,253
6,395
6,424
6,484
6,947
7,8
7,80
7,223
7,319
7,328
7,333
7,402
7,528
7,549
7,715
7,827
8,80
8,272
8,639
8,644
8,718
8,887
9,19
9,140
9,185
9,342
9,459
9,466
9,515
9,687
9,798
10,33
10,389
10,521
10,795
10,950
11,149
11,310
11,328
11,365
11,447
11,778
11,958
12,49
12,295
12,392
12,519
12,529
12,610
12,648
12,732
12,747
12,844
12,865
12,901
12,908
13,28
13,69
13,95
13,183
13,251
13,393
13,433
13,441
13,493
13,597
13,642
13,643
13,802
13,873
13,958
13,975
14,31
14,102
14,388
14,408
14,469
14,565
14,715
14,792
14,861
14,970
15,12
15,75
15,101
15,121
15,211
15,214
15,268
15,291
15,526
15,607
15,709
15,714
15,928
16,348
16,440
16,542
16,583
16,617
17,141
17,412
17,586
18,14
18,91
18,629
18,662
18,766
18,864
19,227
19,251
19,360
19,438
19,833
19,837
20,369
20,379
20,403
20,434
20,512
20,604
20,678
20,828
20,919
21,19
21,140
21,232
21,294
21,454
21,469
21,491
21,570
21,684
21,739
21,773
21,824
22,139
22,406
23,47
23,167
23,200
23,281
23,286
23,418
23,450
23,484
23,711
23,736
23,935
24,38
24,47
24,63
24,451
24,587
24,776
24,834
24,963
25,83
25,182
25,276
25,345
25,386
25,679
25,712
25,821
26,96
26,146
26,179
26,214
26,264
26,891
26,917
27,91
27,153
27,195
27,499
27,571
27,573
27,676
27,706
27,819
27,964
28,121
28,122
28,252
28,513
28,599
28,681
28,925
29,140
29,240
29,615
29,690
30,11
30,120
30,349
30,464
30,581
31,72
31,141
31,182
31,211
31,303
31,315
31,570
31,619
31,729
31,828
31,880
32,123
32,167
32,237
32,293
32,419
32,448
33,109
33,141
33,311
33,554
33,594
33,729
34,50
34,254
34,358
34,374
34,417
34,566
34,697
34,701
34,714
34,764
34,860
34,993
35,164
36,23
36,383
36,637
36,661
36,736
37,139
37,253
37,423
37,467
37,485
37,571
38,18
38,83
38,535
38,968
38,989
39,319
39,486
39,618
39,731
39,795
39,880
39,894
39,988
40,20
40,42
40,44
40,449
40,706
40,853
41,8
41,35
41,114
41,123
41,210
41,323
41,358
42,35
42,47
42,178
42,205
42,397
42,589
42,674
42,879
43,228
43,452
43,845
44,232
44,321
44,459
44,493
44,566
44,628
44,773
44,961
45,161
45,453
45,466
45,725
45,877
46,53
46,173
46,269
46,413
46,550
46,599
46,904
46,926
47,30
47,383
47,470
47,824
47,884
48,85
48,404
48,459
48,596
48,890
49,31
49,99
49,214
49,334
49,351
49,391
49,461
49,516
50,276
50,396
50,403
50,522
50,668
50,687
50,823
50,867
51,98
51,359
51,385
51,475
51,518
51,934
51,975
52,174
52,179
52,182
52,204
52,327
52,601
52,650
52,743
52,882
53,89
53,94
53,319
53,397
53,484
54,259
54,370
54,489
54,610
54,678
54,740
54,793
54,902
54,994
55,13
55,361
55,546
55,628
55,705
55,764
55,975
55,980
56,208
56,254
56,493
56,537
56,597
56,789
57,298
57,370
57,434
57,575
57,814
58,22
58,26
58,327
58,360
58,407
58,554
58,662
58,672
58,996
59,195
59,285
59,332
59,507
59,566
60,307
60,323
60,334
60,419
60,443
60,460
60,765
60,836
61,213
61,405
61,537
61,567
61,664
61,789
61,812
62,90
62,481
62,816
63,286
63,312
63,330
63,372
63,571
63,846
63,917
64,151
64,167
64,246
64,518
64,644
64,721
64,844
65,8
65,19
65,44
65,107
65,233
65,299
65,352
65,431
65,440
65,493
65,503
65,883
65,977
66,189
66,301
66,677
66,755
67,30
67,157
67,205
67,266
67,449
67,503
67,528
67,785
67,857
67,882
68,142
68,292
