from_node,to_node
0,159
0,168
0,181
0,319
0,337
0,543
0,621
0,925
1,223
1,433
1,615
1,689
1,699
2,13
2,127
2,149
2,155
2,437
2,593
2,698
2,908
2,936
3,338
3,566
3,692
3,796
3,827
4,413
4,514
4,736
4,989
5,158
5,523
5,541
5,760
5,824
6,521
6,532
6,569
6,574
6,578
6,579
6,819
7,25
7,99
7,561
7,646
7,774
7,996
8,16
8,614
8,786
8,866
9,259
9,460
10,108
10,265
10,336
10,446
10,475
10,524
10,666
10,718
10,912
11,53
11,189
11,400
11,415
11,462
11,561
11,580
11,644
11,711
11,748
11,822
12,124
12,418
12,572
12,842
12,932
13,210
13,499
13,798
13,892
14,159
14,171
14,278
14,347
14,520
14,687
14,716
14,820
14,883
14,906
15,445
15,880
15,947
16,83
16,171
16,595
16,609
16,716
17,190
17,324
17,338
17,457
17,738
17,881
18,44
18,519
18,712
18,740
18,744
18,782
18,798
19,24
19,149
19,217
20,195
20,595
20,658
20,754
21,376
21,430
21,475
21,483
21,688
21,772
21,800
21,845
22,68
22,363
22,680
22,744
22,779
22,850
22,923
23,256
23,429
24,320
24,353
24,469
24,492
24,517
25,13
25,172
25,353
25,500
25,794
25,873
25,993
26,351
26,461
26,974
27,44
27,117
27,237
27,328
27,519
27,617
27,977
28,113
28,141
28,235
28,516
28,535
28,817
28,840
29,205
29,254
29,301
29,323
29,413
29,557
29,586
29,587
29,590
29,766
30,334
30,503
30,523
30,577
30,917
31,192
31,297
31,326
31,611
31,704
31,924
32,91
32,95
32,479
32,677
32,772
32,787
32,933
33,14
33,232
33,279
33,559
33,653
33,876
33,880
33,993
34,92
34,138
34,250
34,265
34,449
34,530
34,683
34,689
34,924
35,150
35,455
35,691
35,759
36,10
36,49
36,117
36,148
36,528
36,541
37,202
37,225
37,429
37,692
37,934
38,141
38,283
38,421
38,690
38,813
38,840
38,873
38,973
39,90
39,95
39,315
39,731
39,789
39,798
39,816
39,825
39,899
40,28
40,38
40,309
40,331
40,449
40,535
41,130
41,281
41,582
41,663
41,676
41,833
41,836
42,31
42,114
42,260
42,342
42,407
42,588
42,630
42,672
42,716
43,218
43,276
43,351
43,438
43,599
43,717
43,720
43,922
44,57
44,91
44,98
44,229
44,316
44,339
44,823
44,887
44,995
45,31
45,130
45,432
45,490
45,513
45,653
45,709
45,813
46,404
46,467
46,509
46,524
46,588
46,985
47,43
47,237
47,308
47,403
47,428
47,596
47,689
47,912
48,33
48,179
48,195
48,423
48,462
48,663
48,872
49,370
49,471
49,668
49,749
49,774
50,55
50,81
50,441
50,498
50,811
50,834
50,901
51,109
51,119
51,160
51,207
51,742
51,795
52,35
52,41
52,276
52,532
52,637
52,638
52,694
52,718
53,10
53,102
53,219
53,225
53,339
53,345
53,815
53,837
53,866
54,87
54,115
54,472
54,602
55,88
55,186
55,314
55,377
55,388
55,723
55,840
55,911
56,215
56,382
56,858
57,82
57,428
57,476
57,517
57,685
58,86
58,492
58,557
58,729
58,808
58,927
59,21
59,97
59,221
59,395
59,589
59,740
59,759
59,870
59,918
59,960
59,971
60,25
60,382
60,761
60,766
60,823
61,20
61,87
61,194
61,367
61,545
61,630
61,868
62,152
62,444
62,902
62,933
63,50
63,73
63,328
63,332
63,416
63,694
63,717
64,706
64,834
65,163
65,251
65,317
65,321
65,583
65,597
65,770
65,780
65,817
65,818
65,896
65,985
66,210
66,277
66,360
66,489
66,493
66,615
67,3
67,38
67,105
67,160
67,185
67,279
67,381
67,416
67,485
67,603
67,678
67,781
67,796
67,804
67,821
67,844
67,912
68,243
68,244
68,410
68,463
68,477
68,929
69,80
69,194
69,349
69,481
69,488
69,511
69,966
69,998
70,219
70,320
70,385
