fp,sim_re,p_re,in_deg
0.3394394391218447,0.382,0.3534291353453033,5.0
0.44487977550004654,0.469,0.44586352146411107,7.0
0.1665175596760673,0.207,0.18531187770400734,5.0
0.30899870544941765,0.342,0.3333328650488042,4.0
0.10119347009716717,0.113,0.11905757420900526,5.0
0.1325606613139334,0.139,0.14414792754095532,8.0
0.2040285040463995,0.196,0.2148341178325639,10.0
0.17782960380033663,0.182,0.18600796625531613,9.0
0.4152021804683578,0.399,0.4172980436955912,10.0
0.3362209657713421,0.316,0.3377315006122857,12.0
0.3207514128670925,0.337,0.3275323115254228,7.0
0.7118244775410774,0.697,0.7052145619123195,6.0
0.401698081046329,0.409,0.4061115521251238,6.0
0.7406452945903416,0.717,0.7304063586439907,12.0
0.03799336722605162,0.04,0.042354549990347636,9.0
0.21094179179095307,0.236,0.22306659208785928,7.0
0.32193283865878797,0.334,0.32562978026025546,11.0
0.5289077787214628,0.509,0.523842471489384,6.0
0.5263942873087064,0.533,0.5324752267217326,9.0
0.11804187346427353,0.143,0.1396939827503048,4.0
0.5431044074281665,0.547,0.5435883661722247,5.0
0.17857598485539283,0.225,0.21815276223771668,2.0
0.4224728810786813,0.415,0.4165576355598137,4.0
0.7581538145028724,0.751,0.7484142727697897,10.0
0.08390290430243252,0.085,0.09215567969239874,11.0
0.11361510154491061,0.115,0.12358866214651425,7.0
0.17353831983497425,0.212,0.19538430364920556,6.0
0.21671870479872213,0.241,0.2320644684082181,4.0
0.4243995253277746,0.414,0.42504637768630044,7.0
0.6664304792787248,0.664,0.6487503128074364,5.0
0.18518992551432745,0.201,0.2108190169524442,4.0
0.5567077872149376,0.528,0.5468851097152102,10.0
0.8077966084100769,0.771,0.7849051052246385,6.0
0.11076222057477192,0.121,0.1250950410539225,7.0
0.06664233055987256,0.074,0.07212832402590147,10.0
0.10996409570421295,0.131,0.12612961369948703,7.0
0.1274418464069197,0.134,0.15160114475781156,4.0
0.7008508057356733,0.679,0.6830591793702174,6.0
0.058245874786220564,0.081,0.07205450724558493,4.0
0.09385140506673084,0.109,0.10656215353806037,6.0
0.14594844455747868,0.163,0.16048866792584549,7.0
0.06186553756881108,0.074,0.07178054656875063,6.0
0.8388116883921549,0.771,0.7852057756093901,2.0
0.06629692529035514,0.063,0.07127290501392843,8.0
0.5833061572320152,0.558,0.5691860293527202,9.0
0.16918151623258426,0.194,0.1768004243341061,9.0
0.49376523893243274,0.493,0.4857560071499437,5.0
0.195082092286609,0.225,0.21364985629270083,5.0
0.7429470851419248,0.751,0.726859284076027,8.0
0.5549039475215984,0.545,0.5454433729311021,9.0
0.12583994338244298,0.139,0.1404581425285423,7.0
0.07039227384041136,0.102,0.07784509678430221,7.0
0.27706890286178554,0.294,0.29273343157375364,4.0
0.15429036145136288,0.188,0.17824839323233402,4.0
0.5624589016351701,0.574,0.5599385315873185,8.0
0.08420427121789786,0.1,0.09708383038558957,5.0
0.09320204002081245,0.105,0.09662993237829896,10.0
0.49248500159016906,0.462,0.4849374709405115,8.0
0.6278581788529844,0.606,0.6173571787028207,9.0
0.06392914122627591,0.063,0.06698970095304839,15.0
0.06779510840724157,0.105,0.09746840221226112,2.0
0.42163782075861966,0.406,0.4273597188451946,6.0
0.08685272028831281,0.09,0.09543839906886616,7.0
0.14617086094089837,0.143,0.15658854818040444,7.0
0.6291469269768151,0.598,0.620771938860063,10.0
0.07733570834716097,0.084,0.08422027699923182,11.0
0.6762288166274013,0.651,0.6643930729504524,10.0
0.1417041791387842,0.158,0.1599653255110252,5.0
0.22925599584636303,0.24,0.24438485836513552,4.0
0.2367468482090589,0.24,0.2450465026334881,9.0
0.051818746989193865,0.067,0.05854131730341087,6.0
0.68133744459279,0.633,0.657220821646794,3.0
0.3885169860815627,0.398,0.3993226271216008,5.0
0.7117232146646965,0.705,0.7055650253484458,8.0
0.5850391217096198,0.545,0.5659130362041581,4.0
0.13224690355921564,0.147,0.14709462300417253,5.0
0.7194979234038004,0.706,0.7100035164583186,6.0
0.14590469735030576,0.162,0.15419330881737617,9.0
0.18554128199860553,0.2,0.196776838854955,10.0
0.5285259482063003,0.509,0.5208790873088619,8.0
0.35950865569397317,0.353,0.36674502829436895,8.0
0.6018920243952011,0.635,0.6004331336841188,12.0
0.6573566503424814,0.641,0.6537580280990809,10.0
0.085410724563176,0.09,0.09067089683198802,13.0
0.11032722858434907,0.118,0.11931514123329405,8.0
0.053163378566183916,0.073,0.05899627395640952,6.0
0.5532251246923803,0.522,0.5562981627496298,3.0
0.3053841887359965,0.328,0.3124285550312177,11.0
0.03640069487513764,0.037,0.042106710216990584,6.0
0.13949207011128206,0.281,0.2787248831837892,1.0
0.31818161354324626,0.341,0.3339466765574551,4.0
0.4032031204236043,0.407,0.4107865165794098,5.0
0.5178610778817043,0.509,0.5144930779672049,11.0
0.1295018684326369,0.153,0.14996212574502668,5.0
0.4790778335508108,0.505,0.48088674325318004,7.0
0.6593306694993283,0.653,0.6535169017146636,11.0
0.5599037127544462,0.524,0.5557969677745112,7.0
0.1903157768104542,0.208,0.20441062091483866,6.0
0.8491525762185885,0.829,0.8393468308240588,9.0
0.380787233487886,0.412,0.40281773734908444,2.0
0.5230145889930364,0.511,0.5236513299768631,11.0
0.7114122674065951,0.696,0.6982748080086566,6.0
0.03798882609403076,0.045,0.04762606483680388,3.0
0.448675255917384,0.425,0.4449132539627952,7.0
0.45307629531568683,0.471,0.4529956700248019,8.0
0.5262707385223495,0.501,0.5187941962099234,11.0
0.45890164764465224,0.461,0.4579652424699118,4.0
0.4290773478905645,0.438,0.42933948455398385,7.0
0.4533775298932712,0.452,0.4540512164009948,10.0
0.1095409148622628,0.115,0.12708721827520114,4.0
0.4050215540837765,0.408,0.4103734246986646,9.0
0.09051151969714966,0.122,0.09916596287082612,11.0
0.11333525860001392,0.151,0.128765865058891,5.0
0.09967036667420004,0.117,0.11232086237031726,8.0
0.692045990983503,0.668,0.6802100293533219,7.0
0.31158321472357686,0.321,0.3199663934064481,6.0
0.6427669508216796,0.623,0.6329791533611147,11.0
0.0834748071617828,0.077,0.0876061214999006,16.0
0.06874383254705485,0.081,0.074566536595962,10.0
0.14643840287561816,0.139,0.15567413775256048,7.0
0.26393046493897154,0.305,0.2811212109624821,6.0
0.1688337654713603,0.183,0.1790215283495769,9.0
0.1776174529062483,0.17,0.19186474787279045,5.0
0.3143559604382584,0.322,0.32218562043784216,10.0
