from_node,to_node
0,117
0,342
0,386
0,535
0,661
1,72
1,622
1,698
1,802
1,951
2,324
2,598
2,618
2,735
2,971
3,438
3,607
3,904
4,356
4,362
4,483
5,239
5,275
5,413
5,418
6,319
6,521
8,711
8,742
9,92
9,168
9,212
9,590
10,577
11,0
11,278
11,486
11,598
11,751
12,151
12,633
13,218
13,303
15,213
15,259
15,949
16,255
17,298
17,654
18,80
18,181
18,469
18,867
19,959
20,531
20,878
21,230
21,406
21,419
21,505
21,717
22,212
22,714
23,188
23,223
23,383
23,517
23,908
23,990
24,323
24,469
24,584
25,121
25,388
25,459
25,865
26,565
27,648
27,919
28,9
29,178
29,634
29,706
29,787
30,147
30,759
31,821
32,907
33,464
33,825
34,192
34,323
34,377
34,446
34,861
35,387
35,668
35,800
36,287
36,522
36,546
36,771
36,952
37,75
37,86
37,485
37,762
37,898
38,239
38,364
39,801
40,171
40,183
41,169
43,211
43,296
43,741
43,831
44,432
45,312
45,919
46,413
46,455
46,804
47,647
48,32
48,172
48,699
49,50
49,215
49,581
49,825
51,408
51,665
52,189
52,290
52,411
52,459
52,594
52,735
52,915
53,245
53,248
53,481
53,670
53,704
54,493
54,645
54,785
54,979
55,414
55,567
55,782
56,861
57,212
57,281
57,640
57,977
58,39
58,68
58,72
59,9
59,98
59,291
60,309
60,840
61,220
61,371
61,442
61,797
61,863
62,347
62,475
63,377
64,346
64,426
64,705
65,478
65,494
65,523
65,799
66,514
66,868
67,24
68,88
68,573
68,884
68,988
69,490
70,432
70,637
71,616
71,722
72,17
72,499
72,900
73,587
74,821
75,63
75,281
75,302
75,363
75,943
76,232
76,891
77,174
77,196
77,330
77,534
77,859
78,195
78,197
78,441
78,625
78,651
78,727
79,18
79,141
79,734
79,781
80,127
80,637
81,88
82,341
82,549
82,667
82,750
83,56
83,140
83,289
83,406
83,608
84,355
86,7
86,326
87,890
88,509
88,653
89,14
89,280
90,103
90,813
91,223
91,330
92,171
92,194
92,380
92,471
92,514
92,683
92,861
93,376
93,963
93,965
94,389
94,452
94,573
94,605
94,989
95,746
95,884
96,224
96,436
96,702
96,981
97,125
97,225
97,266
97,381
98,277
98,576
99,33
99,306
99,334
99,476
99,833
100,642
100,780
101,432
101,610
102,159
102,316
102,353
102,383
102,693
104,530
104,983
105,877
106,194
107,352
107,514
107,902
107,914
108,228
108,470
109,74
109,171
109,249
109,700
109,710
109,828
110,557
110,922
110,968
111,28
111,528
111,676
111,905
111,963
112,74
112,318
113,131
113,321
114,997
115,87
115,368
115,522
115,591
116,87
116,831
117,99
117,221
117,429
117,791
118,313
118,564
118,962
119,82
119,216
119,874
120,822
121,366
121,446
122,987
123,525
124,241
125,58
126,55
126,291
126,731
126,845
127,442
127,453
127,508
127,843
128,57
128,187
128,273
128,327
129,407
129,641
129,743
129,855
130,262
130,480
130,915
131,42
131,338
131,705
132,135
132,441
132,484
133,877
134,113
134,227
134,869
135,419
135,821
136,88
136,653
138,717
139,415
140,174
141,104
141,458
141,729
142,182
142,870
142,882
142,951
144,288
144,760
144,987
146,84
146,122
146,157
146,327
147,684
147,859
147,991
148,207
148,428
148,548
149,442
149,696
149,816
150,780
150,878
151,414
152,45
152,233
152,385
152,975
153,727
153,808
154,5
154,42
154,116
154,858
154,947
155,987
156,719
157,469
158,408
158,644
158,821
159,274
159,456
159,714
159,974
160,395
160,425
161,694
