fp,sim_re,p_re,in_deg
0.1264137511919936,0.18,0.14607542620661101,1.0
0.08042284031975666,0.09,0.11260352017533305,1.0
0.36896821376872435,0.43,0.405277308256872,2.0
0.41934887567487567,0.48,0.45097027948161056,3.0
0.1272319582344399,0.14,0.14540864543942386,6.0
0.1763583915522512,0.15,0.20977077993666138,3.0
0.45092440176933657,0.4,0.4596325343686965,5.0
0.10185637409388948,0.16,0.1564316953895093,2.0
0.42068325651159233,0.45,0.4150967380577038,4.0
0.400880918558706,0.36,0.39596575597554284,3.0
0.47924281175109384,0.47,0.5128339801115486,5.0
0.21596848729537377,0.25,0.23131105631139748,4.0
0.2141145868891443,0.27,0.316084393112238,1.0
0.0422295526941896,0.06,0.042229552694189716,0.0
0.06720814581130696,0.1,0.08814630293923166,2.0
0.6165142052676529,0.63,0.6062812275165967,3.0
0.15509026980456408,0.28,0.2772796585246259,1.0
0.29388099019704306,0.33,0.343324608596156,3.0
0.38729824065433294,0.45,0.38787203796728925,5.0
0.6927302745109842,0.61,0.6410368656547613,2.0
0.24414431034023576,0.27,0.24670830948692996,2.0
0.06674156388744834,0.08,0.08332567464172298,4.0
0.0498164230303525,0.04,0.061406019873137624,7.0
0.07390181333936063,0.1,0.09769448360515258,4.0
0.7824816941553098,0.71,0.7524994664598497,3.0
0.4207789765757318,0.43,0.4191029315483167,2.0
0.2670366688910124,0.27,0.29785142320395214,2.0
0.1582215022739487,0.17,0.15822150227394838,0.0
0.4919854328615295,0.43,0.49391102464664655,3.0
0.5514506673084698,0.57,0.5507227935031916,3.0
0.5747200792461118,0.55,0.5461959841447009,3.0
0.06596568255141821,0.08,0.08105635318644705,4.0
0.14903071533998824,0.21,0.20693691095757136,2.0
0.6297869442532659,0.59,0.6062952870068571,5.0
0.20266046593081544,0.22,0.2284581939505462,3.0
0.6222123921795033,0.61,0.5947179453115333,3.0
0.030853537692919764,0.06,0.043014272789135735,1.0
0.37357175781776797,0.37,0.3973157406269652,2.0
0.24496255500615538,0.2,0.24139467263221615,9.0
0.5563831057452144,0.51,0.5579254322655491,3.0
0.1512195650221333,0.14,0.16472965676732693,1.0
0.5202477965993805,0.56,0.533414564250796,7.0
0.3056652667174028,0.35,0.3571245108583041,2.0
0.07323254531937562,0.08,0.085969417549832,5.0
0.3779676669725429,0.44,0.3906491359229768,6.0
0.23557734043394807,0.36,0.3495885335007972,1.0
0.27255059119811953,0.37,0.27853757861951417,3.0
0.20176271148309766,0.22,0.23190966252340847,3.0
0.5661636136494357,0.58,0.5762884392599541,2.0
0.12777020484475754,0.19,0.17197485507602298,2.0
0.6162045466699386,0.6,0.6271886640172599,2.0
0.15379616587629164,0.09,0.16609651344527632,5.0
0.7360163844952556,0.57,0.6097736365611048,1.0
0.8411732684842497,0.71,0.7331286429552201,1.0
0.7359623996885234,0.73,0.7210003748390724,4.0
0.24571298146985587,0.3,0.2758726220313118,4.0
0.129438811417794,0.13,0.1294932563863881,5.0
0.19212881297602857,0.2,0.20992138035892385,3.0
0.45481660297411475,0.43,0.46713534639091575,3.0
0.6010724235561048,0.57,0.6037876851578258,3.0
0.2404451936307137,0.29,0.24044519363071348,0.0
0.11515839304729303,0.2,0.20199878019784603,1.0
0.10926334469082355,0.07,0.13205570066977895,3.0
