from_node,to_node
0,9
0,444
0,746
0,754
0,783
1,934
2,354
3,66
4,282
4,780
5,22
5,165
5,214
5,959
6,372
6,498
7,584
9,174
9,943
10,720
11,835
12,217
12,674
13,425
13,633
13,724
14,209
14,250
14,292
14,689
14,758
14,955
17,219
17,568
18,420
18,674
18,823
18,870
19,129
19,408
19,421
19,465
19,776
20,278
20,377
20,807
20,839
21,256
21,371
21,691
22,844
23,22
23,113
23,281
23,711
23,868
23,967
24,157
24,297
24,675
25,28
25,379
25,789
26,858
27,11
27,447
27,548
28,201
28,265
28,689
28,882
28,885
29,44
29,588
30,442
30,652
30,883
32,132
32,986
33,84
33,228
33,291
33,395
33,474
33,631
33,728
34,646
34,920
35,389
35,511
35,835
35,899
37,724
37,828
37,898
37,934
38,272
38,983
39,316
39,698
39,878
40,464
41,313
41,502
42,118
42,884
43,119
43,318
43,364
43,651
43,680
43,836
43,940
43,992
44,182
44,377
44,532
45,43
45,227
45,628
47,75
47,558
47,754
47,763
48,285
48,503
48,601
49,327
50,38
50,631
51,57
51,650
51,892
52,51
52,612
52,617
53,257
53,516
53,787
53,932
54,362
54,388
54,507
54,541
56,51
56,223
56,707
57,110
57,364
57,545
57,588
58,254
58,455
58,711
59,3
60,278
60,836
60,978
61,10
61,64
61,136
61,703
62,333
62,363
62,460
62,498
63,43
63,248
64,474
64,595
64,878
66,170
66,214
66,254
66,299
66,319
66,635
66,787
67,574
68,419
68,506
70,267
70,270
70,993
71,35
71,161
72,429
72,905
73,294
73,328
73,519
73,544
73,769
74,150
74,294
74,974
75,281
75,796
76,44
76,764
76,906
77,327
77,553
77,849
77,999
78,288
78,733
78,975
78,996
79,449
79,461
79,801
81,162
82,143
82,226
82,430
83,59
83,202
83,830
84,6
84,344
84,432
84,527
84,661
85,158
85,278
85,467
86,197
86,412
86,785
87,43
87,700
87,783
87,807
87,917
88,633
88,660
88,685
88,811
89,84
89,471
89,622
90,169
90,272
90,338
90,710
91,44
91,258
91,560
91,634
91,891
92,127
92,226
92,302
92,365
92,928
93,94
95,80
95,484
95,854
97,199
97,217
97,264
97,433
97,633
97,709
97,716
97,962
98,76
98,660
98,870
99,358
99,989
100,22
100,820
101,858
102,314
102,678
102,713
102,775
102,940
102,960
103,692
103,715
104,198
104,328
104,607
104,695
104,934
104,935
106,203
106,272
106,657
107,703
107,793
107,985
108,253
108,504
108,782
108,934
109,504
110,713
110,807
111,8
111,948
112,464
112,686
112,927
113,340
113,657
113,812
114,562
115,184
116,608
117,473
118,984
119,519
119,782
119,936
120,320
120,497
120,907
120,923
121,303
121,542
121,621
121,925
122,232
123,392
123,545
123,554
123,863
125,265
126,51
126,54
126,113
127,82
127,643
127,648
129,152
130,987
131,35
131,515
131,629
131,706
131,895
131,985
132,936
134,77
134,85
134,207
134,410
134,680
134,788
135,79
135,178
135,417
135,735
136,880
136,935
137,199
137,779
138,5
138,949
139,964
140,33
140,118
140,267
141,400
141,754
141,856
142,3
142,215
142,380
142,555
142,954
142,988
143,433
143,747
144,432
145,316
145,914
146,788
147,408
147,864
148,659
148,670
149,461
149,503
150,582
150,973
151,320
152,25
152,433
152,665
153,445
153,566
153,601
154,928
155,122
156,10
156,329
157,289
158,211
159,207
159,260
159,452
159,607
160,33
160,333
160,990
160,994
161,48
161,77
162,313
162,386
162,598
162,624
163,41
163,367
164,79
164,878
165,135
167,38
167,330
167,442
167,530
167,782
167,799
168,177
168,517
168,667
168,744
169,42
169,181
169,377
169,444
169,594
169,664
170,7
170,41
170,124
170,184
170,243
170,285
170,516
171,22
171,214
171,462
172,271
172,346
172,691
172,796
173,187
173,494
173,883
174,261
174,330
