fp,sim_re,p_re,in_deg
0.1355729277760912,0.08,0.13685108437652516,651.0
0.05889843993589072,0.05,0.05845024537485334,636.0
0.6060737561054541,0.55,0.6069702781683081,341.0
0.4826869428349494,0.48,0.4874812164903822,292.0
0.23628136838036873,0.21,0.23590100596087865,203.0
0.11050483752521423,0.09,0.11097075854327114,198.0
0.13783979731846563,0.14,0.13741134482316258,190.0
0.7413879910807564,0.74,0.7388915270906671,187.0
0.12695657411859462,0.12,0.12615505103222108,185.0
0.625672967801124,0.58,0.6261098501011574,172.0
0.15085887102451867,0.17,0.15059898437161967,172.0
0.6264333380747951,0.55,0.6269552926297117,161.0
0.3850377422073623,0.32,0.38596875081516385,158.0
0.48627241020856504,0.37,0.49057242199461976,150.0
0.15138017879928745,0.15,0.151552291320186,147.0
0.19975596043242239,0.29,0.19720043503303913,146.0
0.060599180540061304,0.03,0.06058033023373659,146.0
0.064292181724944,0.1,0.06572580851238598,144.0
0.3260522413466739,0.29,0.32513324115271636,126.0
0.4559407649872491,0.47,0.45463682524741666,126.0
0.16826951810213842,0.18,0.17222239772749476,119.0
0.1476637401556996,0.09,0.15016755400393741,105.0
0.5623573062271189,0.62,0.5613191887899555,105.0
0.6514660460869923,0.71,0.6579345993299414,98.0
0.6355203289421221,0.61,0.6327192828441808,96.0
0.3036114176553456,0.33,0.3064431339521545,100.0
0.5981423844798833,0.6,0.6048821077709673,94.0
0.06953805472736341,0.1,0.07108322709130867,88.0
0.416892568183045,0.31,0.4176602707784769,90.0
0.11575264595907675,0.09,0.11838655685971203,88.0
0.14510860794626101,0.1,0.14600757451819546,87.0
0.14373431071039366,0.11,0.14826949823693883,88.0
0.5762772935991421,0.61,0.5770221971307709,83.0
0.10348157304263461,0.1,0.10478161336573567,80.0
0.06629806692760054,0.05,0.06684372038775377,77.0
0.6924860260321,0.62,0.6963634934454678,77.0
0.08677982314461907,0.11,0.08952608611743297,77.0
0.7161364947987452,0.74,0.7196377548366223,76.0
0.5344581092921665,0.48,0.5302840177060854,76.0
0.6425582308258171,0.62,0.6414818063279326,74.0
0.17436531463560012,0.17,0.17414249318055983,72.0
0.5996900462241356,0.65,0.5984779531823422,74.0
0.6239339753484365,0.72,0.6323129776861112,70.0
0.28276124707169115,0.29,0.28120350057985943,68.0
0.23131765707453078,0.2,0.23628667438064566,70.0
0.06491310162659403,0.08,0.06642094754793135,67.0
0.07648693716295385,0.12,0.07796173016993956,69.0
0.2602444875448999,0.24,0.26015282802117384,65.0
0.517324691751659,0.57,0.5103302628067137,65.0
0.29018563761205807,0.27,0.2928612104205372,66.0
0.11059089867662386,0.11,0.11097664476435747,64.0
0.15763174538045255,0.16,0.15590680209438837,65.0
0.12185535549428916,0.13,0.12105666227448925,64.0
0.38457695125749625,0.37,0.3847950864476944,63.0
0.5395780269316925,0.54,0.5409518199139156,62.0
0.6015029360731834,0.71,0.6071873463042174,62.0
0.2874577752407723,0.26,0.2885525489703147,64.0
0.5437119233527603,0.55,0.5490191061457048,62.0
0.0951527608004391,0.08,0.09540816077187186,60.0
0.48156731022082333,0.51,0.48228960086196404,60.0
0.4577238364748556,0.39,0.46078774200419736,59.0
0.17432721121886519,0.18,0.17212418836873478,60.0
0.6722405518202074,0.71,0.6705544913702703,57.0
0.14022268815595273,0.11,0.14109304129271344,57.0
0.1765345755455059,0.18,0.1764362907394268,58.0
0.5916527556307408,0.56,0.5954603520983813,58.0
0.2363163939391334,0.23,0.23517673378501563,58.0
0.09660075681368008,0.1,0.09742093930262666,54.0
0.26867854845670003,0.19,0.27085281089629837,57.0
0.6985894301430136,0.71,0.6972089165093841,55.0
0.6301871283721172,0.66,0.6289199288512131,56.0
0.09950386011782886,0.13,0.10086789123454054,53.0
0.6542687602597481,0.57,0.652069598112995,56.0
0.13124344947413946,0.18,0.13343126329356098,56.0
0.6875732054181742,0.66,0.6884980594104632,55.0
0.0699120885894472,0.07,0.07206840913003226,52.0
0.29421623700128585,0.36,0.29129755501072746,54.0
0.6610307988146353,0.64,0.661122266036967,52.0
0.15680504270903883,0.16,0.1574069061122623,53.0
0.5373030293787927,0.48,0.5351654612373777,51.0
0.3599888615034522,0.44,0.35424744947370734,50.0
0.06356029503262062,0.05,0.06326209967479858,51.0
0.2055338695563157,0.17,0.2156803062216769,49.0
0.20374816803835183,0.17,0.20539390655910442,50.0
0.05867291735027036,0.09,0.06045195006044812,49.0
0.5365449507028248,0.55,0.540162824915413,49.0
0.31894072584945043,0.29,0.32345507496119474,49.0
0.5388059849358469,0.57,0.5373574487620678,46.0
0.3629288947245378,0.36,0.3667753524443353,46.0
0.12239095470014216,0.14,0.12458981710377094,47.0
0.7421243930611836,0.68,0.7400389863039077,47.0
0.47541671674189934,0.38,0.4730666333529014,48.0
0.4214316382187919,0.46,0.4221409159707653,45.0
0.6671674188919989,0.58,0.6691582129645752,47.0
0.4928891402647919,0.56,0.4898572895695057,47.0
0.7211998792193235,0.8,0.7184223769031689,46.0
0.1901430744650472,0.15,0.1900363949314635,42.0
0.7614406750557312,0.74,0.758684672415854,45.0
0.33227301370386897,0.27,0.32421902206539527,46.0
0.09428539926083024,0.11,0.0968442754405458,45.0
0.29660220260713543,0.25,0.2957855711738853,44.0
0.1381926161261282,0.22,0.13793209473397933,45.0
0.3440397647392103,0.28,0.35052696563172914,40.0
0.5613732754594974,0.55,0.5701432256796112,42.0
0.20154866648394565,0.2,0.20467893974980547,43.0
0.6193567892667082,0.64,0.6241830375598455,42.0
0.6255964804687988,0.7,0.6371349715417816,43.0
0.39168585735574923,0.33,0.3950831869067137,41.0
0.6960682722491505,0.67,0.6933416935725237,41.0
0.3471013752404961,0.31,0.34613200549830125,42.0
0.10692694023061833,0.04,0.1094580661921409,42.0
0.07248889845710205,0.1,0.07612971523236609,41.0
0.726884872912906,0.73,0.7254622512454968,41.0
0.1148297117341468,0.12,0.11463014474077107,41.0
0.5268269974493113,0.54,0.528460798918971,41.0
0.6128568577015399,0.73,0.6119396572337829,40.0
0.6708667432586845,0.62,0.6711606939612362,39.0
0.3161617896024336,0.37,0.3228716927110632,39.0
0.13386472091353796,0.08,0.1342355549697214,40.0
0.41866907565560063,0.41,0.42370340865455103,39.0
0.24701652747121117,0.23,0.24348079232208913,38.0
0.11932177011753531,0.17,0.12254837602307314,39.0
0.17539581557165318,0.12,0.17619064922869193,38.0
0.2703843338952058,0.24,0.2706309402994344,38.0
0.1972393424817036,0.24,0.20339400602130348,38.0
0.0736789879491262,0.08,0.07431928873767404,37.0
0.5700640513287756,0.58,0.5729963555101204,38.0
0.07979437407569967,0.06,0.080366931471183,38.0
0.6749574840447096,0.69,0.6832411770882222,37.0
0.5694671234401412,0.5,0.564388882105251,37.0
0.4636566707888863,0.57,0.47697921454344944,35.0
0.0790472889875089,0.08,0.08204431185434138,36.0
0.6467451533364454,0.58,0.6459370603606926,36.0
0.5058558317387729,0.53,0.5070576347393501,36.0
0.1676974347248027,0.16,0.1675889753371371,35.0
0.40833796295262403,0.45,0.4028255620841486,35.0
0.6943323152769796,0.58,0.6927230959174585,34.0
0.44373751130245687,0.45,0.4489743639309077,34.0
0.08430352844660327,0.07,0.08980784281230231,34.0
0.771195571434838,0.77,0.7712974430112279,32.0
0.30516031016666256,0.32,0.3152002785243319,29.0
0.6343310989558889,0.65,0.6290605178315145,31.0
0.2440342433413104,0.26,0.24045046321992591,33.0
0.1746902385198954,0.15,0.17436796115922654,31.0
0.08243738503623965,0.08,0.08322760338954077,31.0
0.2915004045659293,0.29,0.2935682169830359,32.0
0.29449815599728213,0.3,0.30063071690373466,32.0
0.7536947158178042,0.77,0.7459371110093794,32.0
0.14468085149692367,0.19,0.14391246103047148,31.0
0.7139679931843517,0.73,0.7097177736587055,31.0
0.37374618912095237,0.37,0.39323051267537024,31.0
0.4668002729114653,0.48,0.47427136359319,31.0
0.07825291152202041,0.08,0.08395971310046084,30.0
0.1669052452190456,0.23,0.17277962896911647,31.0
0.4289753864612472,0.44,0.4238302458169116,30.0
0.06904112431550824,0.09,0.0715421986514582,31.0
0.7101362374303379,0.72,0.7068479426385236,31.0
0.06787135904757002,0.09,0.06996473208849324,29.0
0.3541133193206576,0.4,0.3606036272873645,30.0
0.5184512124034224,0.59,0.5264214560763633,30.0
0.0823923397947045,0.07,0.08306850747001572,29.0
0.6649094825801651,0.62,0.6643619812723063,30.0
0.7284421848987803,0.75,0.7177932306688688,30.0
0.07120719264357778,0.07,0.07533155584399537,30.0
0.5291129111915832,0.4,0.516788688836127,30.0
0.30904837709278743,0.32,0.3182112788910257,30.0
0.26363908789261037,0.27,0.27132727395396056,29.0
0.13177841552776426,0.1,0.13010048227187188,30.0
0.18667287911104558,0.22,0.18643650037165474,29.0
0.09933153013648255,0.08,0.10505447942236452,29.0
0.34116089431940344,0.34,0.3555582795102078,29.0
0.07103269249180766,0.09,0.07138306391875944,29.0
0.3457731092192904,0.25,0.35505435125948265,29.0
0.058462916348663296,0.03,0.05867786031189498,29.0
0.775419680403443,0.74,0.7660530448559685,29.0
0.4791234341908609,0.59,0.48987806612826096,28.0
0.36456276470967064,0.48,0.36971520772980854,28.0
0.730792482583877,0.71,0.7234585392739906,28.0
0.4783314485747193,0.45,0.47162114171426894,28.0
0.10619317727041833,0.1,0.11518384153431248,27.0
0.05943029744778561,0.02,0.0634481437725543,28.0
0.5488849361118695,0.6,0.5492802720973369,28.0
0.31785880958394186,0.33,0.3237882787946951,27.0
0.20200454341346397,0.18,0.2045076467717889,27.0
0.5924540564338463,0.56,0.5988883195821597,27.0
0.2903852503340604,0.28,0.29150041865674153,27.0
0.06503672732831656,0.11,0.06747391815861273,27.0
0.5069313303822872,0.58,0.5029380306115155,27.0
0.46950816615095914,0.5,0.4745476775512946,27.0
0.08320133933011276,0.08,0.08393358191388078,25.0
0.36134757070614065,0.42,0.3533446105818108,27.0
0.09041785110767608,0.07,0.09463118882779054,25.0
0.6181430697020018,0.59,0.6070931333043895,27.0
0.18473580540927426,0.18,0.18947875493394956,26.0
0.10680096082756196,0.15,0.10937700004174829,25.0
0.08425082003915674,0.12,0.08659983719284783,25.0
0.3695083445450055,0.38,0.3789479214734603,26.0
0.08374907106075236,0.14,0.08753954146318436,26.0
0.6895443058967134,0.69,0.6757515974936028,25.0
0.20793768987390715,0.19,0.213139209460747,25.0
0.2848219790091272,0.25,0.2936375460508567,26.0
0.6980714759015318,0.68,0.6892531122018352,26.0
0.3333020024988017,0.34,0.3305397230205828,23.0
0.6999460307875902,0.74,0.6935234436879699,25.0
0.07299525275128194,0.07,0.07382643849818094,25.0
0.36998828519431015,0.39,0.37332445733388725,24.0
0.6130212323275253,0.63,0.613362144744345,25.0
0.2677243372335947,0.23,0.26929126365965284,25.0
0.7584537193442866,0.81,0.7563587639609263,25.0
0.10151144175873417,0.12,0.10342392665882126,25.0
0.5874986891363799,0.65,0.5905328348230752,25.0
0.6264694486632949,0.63,0.620666848773974,25.0
0.05970027176878523,0.06,0.06266616749231703,25.0
0.10857664403677147,0.12,0.1107265549648833,25.0
0.06950880980900709,0.07,0.06983038020036021,24.0
0.4169737738475583,0.44,0.4243161021130881,23.0
0.460208769297885,0.52,0.4680248823411157,24.0
0.7396673516580529,0.74,0.7198914098453193,24.0
0.22530858376012053,0.24,0.22328311525479083,24.0
0.16006303417131873,0.13,0.16598535088923835,24.0
0.11257467725620063,0.12,0.11852937030018403,23.0
0.06800949485362129,0.02,0.07247859412263045,24.0
0.10584077077173826,0.13,0.10947857101263896,24.0
0.42546024666650384,0.4,0.42362899533760445,24.0
0.11147915627684757,0.12,0.11590469563940266,24.0
0.3436422251573812,0.4,0.34480742252274893,24.0
0.22180958852201993,0.24,0.23509906191163754,24.0
0.2507500360002969,0.23,0.24409146735601495,22.0
0.3361367737589279,0.38,0.33281870489207627,24.0
0.6646716047462096,0.68,0.665204282461748,24.0
0.5546252051711831,0.6,0.566517508312039,24.0
0.6605775613354392,0.58,0.6611344416608012,24.0
0.7202772333721332,0.73,0.7215163231598989,24.0
0.25577814855497216,0.23,0.26182260580433536,24.0
0.5804666634259503,0.57,0.5803917395868727,23.0
0.45127315907483667,0.5,0.4434238826924418,22.0
0.29057726232639003,0.29,0.2849207276084071,23.0
0.29947486917653154,0.27,0.317713309584003,23.0
0.2851501486145843,0.29,0.2826143051133903,23.0
0.33163230666449384,0.38,0.3190822079859543,22.0
0.11682120859586254,0.12,0.12209773847455098,23.0
0.05633054034661933,0.1,0.0566182219618728,23.0
0.596404155419048,0.57,0.598902909375453,22.0
0.26179934913988034,0.31,0.2653189223052728,23.0
0.11338859929184575,0.08,0.11493706668412049,23.0
0.665807501446726,0.66,0.6678031423477938,23.0
0.10501217783483796,0.08,0.10566953576263886,23.0
0.21656299785782707,0.3,0.21675960795548438,23.0
0.42918538939087103,0.37,0.4328880557652445,22.0
0.44517852277730074,0.45,0.43307230699531263,22.0
0.524127685425841,0.44,0.5116959634795065,22.0
0.09291754484951409,0.1,0.08996596864464376,22.0
0.4469186444372367,0.4,0.44820737156723495,21.0
0.3630776941792575,0.36,0.3612116486557552,22.0
0.13229119179369386,0.16,0.13458299895174852,22.0
0.7521478905569678,0.71,0.7507705793208755,22.0
0.6416166353363678,0.62,0.6344704601002163,22.0
0.3945033125319548,0.39,0.39637843113428206,22.0
0.4268189860238353,0.41,0.42808041579405975,22.0
0.1878721429385395,0.19,0.1957443372308309,22.0
0.7649018382680817,0.86,0.769892709145639,22.0
0.6607575719695655,0.66,0.666182344982849,21.0
0.6111720829050242,0.59,0.6093921824735665,21.0
0.25933908718071663,0.27,0.2695698925858902,21.0
0.34418487796049824,0.4,0.35578263482529204,21.0
0.27843693390541735,0.24,0.2793096365601107,21.0
0.23820469340151196,0.16,0.23372168098654034,20.0
0.5121537502019651,0.59,0.5186792946252194,21.0
0.47772386186754257,0.5,0.49019595376940905,21.0
0.7426134785316728,0.63,0.7392575271134489,21.0
0.12447247918544091,0.08,0.1246314834244524,21.0
0.08201381522648765,0.07,0.08414633045781143,21.0
0.09418517256915593,0.13,0.09594555261049235,21.0
0.5160137384543015,0.55,0.5131945185591754,21.0
0.5220654832816661,0.49,0.5370311110261714,21.0
0.13454094241442738,0.09,0.1420889144800541,21.0
0.3945114403645067,0.42,0.40780557818192653,21.0
0.5002037851994653,0.49,0.5023884209396267,21.0
0.17026079947072925,0.21,0.18000309509932463,20.0
0.4713309926300616,0.54,0.4694353137228344,20.0
0.31977012690614737,0.38,0.31040054093935826,20.0
0.7447086479620864,0.67,0.7354714076077226,20.0
0.42440967402233254,0.39,0.4245336981186444,20.0
0.08778602553686299,0.1,0.09453785396829183,20.0
0.667343514525747,0.68,0.6818329330998323,19.0
0.2434856391113428,0.26,0.2521413740987575,20.0
0.1032126058125582,0.15,0.10745685330605843,19.0
0.1930070898466244,0.14,0.19428770599734368,20.0
0.26510696288241675,0.25,0.2634281731393519,20.0
0.45101846162753156,0.43,0.449457590455268,20.0
0.4989898272289236,0.51,0.4936887907619584,20.0
0.36717686964397067,0.38,0.37477806150714615,20.0
0.7612815158073618,0.73,0.7597927247721239,20.0
0.5086536985174013,0.54,0.5080761943375534,19.0
0.542654818535057,0.42,0.5442315550808839,20.0
0.6852645081883801,0.66,0.6787234738758378,20.0
0.6513245128379663,0.7,0.6378488911441589,19.0
0.7343443748062077,0.7,0.723258581279093,20.0
0.19123387214438314,0.12,0.1976883673318101,19.0
0.2329991353210511,0.26,0.24614805839458287,19.0
0.541228459115778,0.39,0.5421437365333438,19.0
0.3484510032276572,0.35,0.35089339232017364,19.0
0.3318803737450331,0.37,0.3370475399881203,19.0
0.11149390987664753,0.1,0.11357854225951619,19.0
0.7744645059972289,0.81,0.7738458133387486,19.0
0.14492600684155166,0.14,0.15512714116561166,19.0
0.06103614948038216,0.04,0.060461802973025794,18.0
0.643668614915573,0.66,0.6406150535739721,19.0
0.4791660354390671,0.58,0.484410153110834,18.0
0.6818871154082908,0.72,0.6843263052527374,18.0
0.5137765390232621,0.49,0.5094612996640131,18.0
0.7547087659130147,0.76,0.7580414388383965,18.0
0.2517827328450213,0.22,0.25075721947895085,19.0
0.31450067995635445,0.39,0.3232536049858046,19.0
0.1262963098214417,0.12,0.13009596560145423,18.0
0.08734681564897129,0.08,0.09130525702112437,19.0
0.17473817200854058,0.24,0.17553524187989825,19.0
0.5138255372538743,0.56,0.5227962807878692,19.0
0.6739717641516002,0.61,0.6711835026218483,18.0
0.730372558847705,0.71,0.7233341048548347,19.0
0.06744563818500204,0.05,0.06869000013797642,17.0
0.4949633414600211,0.43,0.48749041465319415,18.0
0.26663192389779233,0.32,0.2704581730934553,19.0
0.15186402356370132,0.1,0.16306113615274886,19.0
0.768852040476755,0.7,0.7507610981501762,18.0
0.05701085550130813,0.08,0.056576443944248406,18.0
0.3892003238034205,0.44,0.417049588424687,18.0
0.21116386416320576,0.25,0.21171749490347153,18.0
0.2595948517575728,0.22,0.26038794446665114,18.0
0.5209451933735467,0.52,0.521463661388505,18.0
0.0691591690630613,0.05,0.07298448668087945,18.0
0.174230886734548,0.15,0.18356882905744498,18.0
0.14462962611488783,0.11,0.15067691197437297,17.0
0.49782477938777037,0.47,0.49413003131127964,18.0
0.3070947019244231,0.32,0.31717079126164655,17.0
0.5786244756929133,0.45,0.5767055140458719,18.0
0.29696555427464655,0.35,0.31171220402681166,18.0
0.20070738597800208,0.16,0.2100099658835762,17.0
0.13881229037089393,0.14,0.14528400204023334,18.0
