from_node,to_node
0,4
0,14
0,333
0,429
1,92
1,642
2,3
2,342
3,30
3,42
3,67
3,108
3,120
3,127
3,156
3,424
3,452
3,689
4,316
4,1823
5,169
5,1931
6,98
6,725
7,11
7,15
7,29
7,41
7,121
7,125
7,173
7,374
7,1242
7,1324
7,1515
7,1669
8,45
8,66
8,96
8,108
8,171
8,822
8,1005
8,1186
9,108
9,997
9,1030
10,115
10,293
11,331
11,384
12,3
12,1332
13,59
13,305
14,152
14,324
15,28
15,511
15,542
16,1
16,3
16,4
16,7
16,11
16,15
16,22
16,72
16,151
16,366
16,372
16,524
16,601
16,735
16,962
16,1551
16,1589
16,1712
17,0
17,4
17,8
17,9
17,119
17,158
17,208
17,374
17,722
17,791
17,815
17,887
17,909
17,946
17,973
17,1022
17,1728
17,1831
17,1933
17,1983
18,94
18,1120
19,49
19,322
20,63
20,232
20,233
20,1631
21,348
21,1942
22,42
22,76
22,1735
23,1
23,3
23,8
23,9
23,21
23,43
23,49
23,66
23,70
23,72
23,73
23,133
23,140
23,363
23,393
23,407
23,461
23,494
23,504
23,743
23,772
23,824
23,842
23,866
23,910
23,959
23,968
23,1202
23,1366
23,1577
23,1814
23,1869
24,1
24,14
25,14
25,515
26,30
26,81
26,101
27,198
27,322
28,30
28,232
28,477
28,873
28,1073
28,1108
28,1720
29,6
29,14
29,77
29,92
29,121
29,1232
30,1
30,8
30,13
30,212
30,269
30,748
30,822
30,1243
31,16
31,38
32,34
32,162
32,722
33,15
33,1991
34,30
34,43
34,162
35,308
35,317
36,49
36,1705
37,5
37,91
38,11
38,52
38,141
38,292
38,643
38,667
39,0
39,76
39,1065
39,1636
39,1911
40,2
40,76
40,170
40,264
40,298
40,1071
41,7
41,21
41,147
41,632
41,773
41,828
41,1088
41,1107
41,1359
41,1661
42,80
42,1997
43,55
43,104
43,222
44,3
45,8
45,33
46,221
46,865
47,3
47,13
48,0
48,261
48,1182
49,1
49,2
49,13
49,18
49,102
49,156
49,208
49,228
49,767
49,811
49,1408
49,1436
50,7
50,599
51,2
51,3
51,10
51,16
51,24
51,75
51,108
51,174
51,196
51,244
51,304
51,322
51,358
51,365
51,539
51,709
51,1001
51,1002
51,1097
51,1832
51,1881
52,4
52,7
52,10
52,27
52,36
52,49
52,76
52,154
52,287
52,913
52,1041
52,1112
53,192
53,1473
53,1591
54,10
54,25
54,35
54,49
54,62
54,174
55,9
55,99
55,130
56,21
56,99
57,127
57,138
57,222
57,259
57,1307
58,47
58,93
59,1
59,571
60,0
60,17
60,1473
60,1547
61,2
61,922
62,150
62,229
62,455
62,628
63,17
63,62
63,95
63,553
64,2
64,40
64,624
65,0
65,20
65,108
66,68
66,204
67,8
67,593
67,1387
68,73
68,624
68,1101
68,1128
69,9
69,33
69,43
69,45
69,47
69,55
69,203
69,349
69,434
69,836
69,853
69,902
69,952
69,1268
69,1329
69,1519
69,1918
69,1936
70,1
70,9
70,17
70,185
70,282
70,856
71,9
71,11
71,13
71,156
71,262
71,1095
72,219
72,781
73,26
73,517
73,827
73,1185
74,5
74,39
75,644
75,646
76,245
76,619
77,5
77,1493
78,8
78,390
79,41
79,76
79,91
80,38
80,139
80,646
80,996
80,1994
81,1
81,6
81,9
81,11
81,55
81,78
81,127
81,140
81,469
81,532
81,587
81,706
81,835
81,1195
81,1220
81,1708
81,1802
81,1852
82,4
82,6
82,8
82,11
82,203
83,81
83,518
83,785
83,1050
84,83
84,151
84,532
84,548
85,150
85,1363
86,138
86,286
86,1068
86,1861
87,4
87,11
87,222
87,1051
87,1093
87,1970
88,840
88,1139
88,1320
88,1742
89,362
89,368
90,0
90,3
90,9
90,45
90,206
90,337
90,376
90,645
90,1253
91,22
91,479
92,43
92,1915
93,61
93,101
94,10
94,21
94,84
94,128
94,284
94,290
94,1782
94,1802
95,4
95,9
95,11
95,31
95,35
95,79
95,80
95,141
95,211
95,330
95,402
95,456
95,1052
95,1131
95,1390
95,1530
95,1925
96,8
96,1070
97,8
97,131
97,348
97,1657
98,4
98,1902
99,10
99,12
99,25
99,37
99,201
99,680
99,1100
99,1168
99,1879
100,55
100,405
100,1805
101,628
101,858
102,200
102,926
103,1598
103,1731
104,15
104,50
104,1643
105,33
105,1079
106,2
106,25
106,45
106,265
106,430
107,90
107,791
107,1557
107,1859
108,2
108,1833
109,148
109,1369
109,1469
110,15
110,29
110,1468
111,1
111,20
111,1281
112,31
112,201
112,1283
113,2
113,11
113,675
113,973
113,1721
114,169
114,997
115,2
116,747
116,1183
117,8
117,1414
118,16
118,799
119,0
119,6
119,27
119,117
120,31
120,34
120,352
121,86
121,383
122,12
122,19
122,20
122,22
122,23
122,41
122,48
122,282
122,486
122,705
123,20
123,204
123,274
123,367
124,92
124,428
124,583
125,1476
125,1547
126,230
126,1002
126,1091
127,43
127,234
127,401
127,544
127,1291
128,125
128,1703
129,84
129,522
130,187
130,336
130,1212
131,133
131,197
131,321
131,1841
132,260
132,271
132,669
132,1206
133,7
133,10
133,35
133,39
133,56
133,215
133,236
133,263
133,334
133,871
133,894
134,22
134,51
134,982
134,1421
134,1470
134,1837
135,0
135,16
136,626
136,1017
137,1
137,11
137,19
137,20
137,57
137,133
137,190
137,220
137,573
137,976
137,1834
137,1835
138,3
138,35
138,42
138,299
138,608
139,460
139,1397
140,1172
140,1790
141,8
141,25
141,27
141,61
142,5
142,85
142,951
142,1162
142,1309
143,114
143,468
144,3
144,7
144,8
144,13
144,20
144,23
144,25
144,30
144,37
144,38
144,55
144,57
144,64
144,83
144,86
144,134
144,173
144,200
144,229
144,258
144,320
144,351
144,394
144,397
144,420
144,440
144,504
144,525
144,807
144,873
144,969
144,994
144,1262
144,1287
144,1343
144,1410
144,1563
145,56
145,99
145,134
145,423
145,443
145,497
145,839
145,1183
146,25
146,74
146,129
147,290
147,605
147,670
147,782
148,74
148,102
148,169
148,1076
148,1409
149,4
149,581
149,1741
150,32
150,48
151,1
151,185
152,922
152,1436
153,2
153,233
154,1
154,23
154,167
154,519
154,1851
155,2
155,11
155,299
155,636
155,849
155,1227
156,11
156,82
156,269
156,373
157,1
157,29
158,80
158,237
158,722
159,1
159,160
159,687
159,790
159,967
159,1569
159,1609
159,1837
160,0
160,30
160,53
160,111
160,350
160,1248
160,1743
161,0
161,10
161,13
161,28
161,49
161,53
161,54
161,104
161,105
161,111
161,112
161,154
161,162
161,212
161,378
161,424
161,1055
161,1094
161,1309
161,1394
161,1717
161,1752
161,1827
161,1913
162,1339
162,1678
163,606
163,1641
164,112
164,823
165,7
165,1865
166,0
166,2
166,3
166,4
166,6
166,18
166,25
166,32
166,35
166,42
166,50
166,57
166,66
166,69
166,110
166,170
166,187
166,204
166,279
166,288
166,290
166,299
166,324
166,334
166,370
166,382
166,401
166,410
166,463
166,465
166,472
166,563
166,871
166,942
166,1232
166,1283
166,1303
166,1324
166,1413
166,1903
167,669
167,846
168,218
168,1910
169,124
169,395
169,459
170,58
170,386
170,551
170,718
171,81
171,1133
171,1340
172,19
172,1646
173,195
173,501
174,26
174,389
175,639
175,899
176,23
176,1689
177,5
177,13
177,278
178,225
178,624
178,906
179,385
179,1308
180,5
180,405
181,15
181,143
182,2
182,1418
182,1450
183,130
183,148
183,322
183,480
183,984
184,131
184,554
184,808
185,4
185,9
186,59
186,1566
187,2
187,60
187,96
188,453
188,1377
189,5
189,1803
190,88
190,1810
191,155
191,1696
192,1
192,71
193,121
193,659
193,1348
194,4
194,439
195,46
195,59
195,506
195,893
195,1515
196,50
196,175
196,480
196,509
197,162
197,445
198,218
198,1921
199,10
199,336
200,372
200,1238
