from_node,to_node
0,2
0,11
0,14
1,0
1,7
1,9
2,4
2,11
2,22
2,25
2,37
3,0
3,4
3,6
3,24
4,2
4,33
5,20
5,23
6,1
6,10
7,1
7,40
8,14
8,19
9,10
9,11
9,15
10,0
10,9
11,13
11,14
11,18
11,20
11,26
11,27
11,42
12,3
12,5
12,6
12,8
12,21
12,31
13,3
13,10
14,4
14,13
15,18
15,21
16,2
16,3
16,45
17,0
18,7
18,27
19,0
19,23
20,4
20,26
21,1
21,8
21,9
22,7
22,16
22,40
23,1
23,4
23,38
24,2
24,13
25,2
25,30
25,41
26,0
26,1
26,16
27,3
27,7
27,24
27,28
28,2
28,21
28,22
29,8
29,17
29,19
30,2
30,3
30,35
30,39
31,0
31,6
31,48
31,49
32,0
32,4
32,39
32,46
33,24
33,29
34,0
34,1
34,17
34,47
35,0
35,3
35,15
35,19
36,15
36,41
37,0
37,10
38,7
38,18
38,33
38,35
38,48
39,12
39,14
39,29
39,34
40,0
40,1
40,4
40,5
40,19
40,28
40,43
40,46
40,47
41,1
41,6
41,16
41,17
41,36
42,0
42,6
42,11
42,12
42,27
42,32
43,25
43,26
44,1
44,29
45,0
45,1
45,6
45,13
45,25
45,28
45,34
45,43
46,0
46,1
46,2
46,3
46,37
46,42
47,1
47,12
48,0
48,2
48,5
48,8
48,9
48,20
48,30
48,38
48,44
48,45
48,49
49,0
49,3
49,4
49,5
49,8
49,9
49,10
49,11
49,15
49,16
49,17
49,18
49,22
49,23
49,31
49,32
49,36
