from_node,to_node
0,1
0,2
0,4
0,5
0,6
0,7
0,8
0,10
0,22
0,24
0,25
0,26
0,31
0,52
0,84
0,89
1,0
1,6
1,19
2,52
2,99
3,12
3,22
3,28
3,65
3,75
4,3
4,7
4,39
5,56
6,0
6,20
6,73
7,2
7,21
8,2
8,3
8,19
8,43
8,96
9,7
9,14
9,18
10,3
10,11
11,2
11,3
11,32
12,4
12,7
13,0
13,1
13,2
13,3
13,5
13,7
13,8
13,9
13,10
13,20
13,22
13,26
13,27
13,35
13,50
13,61
13,65
13,67
13,81
13,82
13,87
13,94
14,3
14,38
15,1
15,9
15,12
15,93
16,9
16,19
16,28
16,34
16,40
17,1
17,10
18,0
18,1
18,2
18,3
18,4
18,5
18,6
18,8
18,10
18,13
18,14
18,16
18,17
18,23
18,27
18,29
18,30
18,32
18,40
18,49
18,57
18,72
18,80
18,86
18,95
19,9
19,35
20,64
20,97
21,1
21,2
21,86
22,0
22,1
22,6
22,15
22,25
22,55
23,15
23,24
24,3
24,10
25,14
25,51
26,6
26,44
27,1
27,3
27,4
28,0
28,23
28,49
28,88
29,0
29,2
30,5
30,16
31,0
31,1
31,2
31,3
31,4
31,5
31,7
31,8
31,10
31,11
31,12
31,16
31,17
31,28
31,35
31,39
31,41
31,42
31,43
31,44
31,46
31,48
31,83
32,23
32,92
33,3
33,48
34,0
34,17
34,33
34,37
34,95
35,10
35,78
36,1
36,2
36,5
36,8
36,9
36,13
36,14
36,17
36,34
36,57
36,61
36,72
36,88
37,2
37,55
37,74
38,8
38,58
39,4
39,53
40,66
40,84
41,0
41,37
41,78
42,5
42,6
42,9
42,13
42,21
42,36
42,53
43,0
43,1
43,3
43,5
43,8
43,12
43,15
43,19
43,29
43,44
43,91
44,0
44,11
45,1
45,75
46,0
46,3
46,20
47,0
47,6
47,59
48,1
48,2
48,10
48,47
48,90
49,4
49,68
50,9
50,64
51,8
51,9
51,14
52,2
52,51
52,98
53,0
53,18
54,0
54,1
55,4
55,9
55,21
55,29
56,63
56,85
57,5
57,14
57,81
58,7
58,11
58,36
59,0
59,6
59,10
59,15
59,69
59,77
60,4
60,66
61,9
61,23
62,3
62,4
63,1
63,38
63,50
64,16
64,85
65,1
65,2
65,3
65,11
65,29
65,37
65,48
66,1
66,7
66,47
67,12
67,51
68,8
68,42
69,0
69,8
69,40
69,45
70,0
70,30
71,2
72,2
73,33
73,67
74,0
74,1
74,2
74,3
74,4
74,5
74,6
74,10
74,13
74,20
74,26
74,49
74,76
74,83
75,0
75,7
75,8
75,16
75,19
75,31
75,34
75,45
75,62
75,69
76,27
76,54
76,97
77,9
77,59
78,2
78,41
79,0
79,3
80,6
80,13
80,70
81,3
81,6
81,9
81,24
81,36
81,46
81,80
81,96
82,1
82,2
82,11
83,73
83,90
84,0
84,87
85,2
85,10
85,12
86,0
86,1
86,2
86,4
86,5
86,6
86,7
86,8
86,9
86,10
86,11
86,15
86,20
86,22
86,25
86,32
86,42
86,56
86,71
86,77
86,94
86,98
87,1
87,4
88,10
88,26
88,60
89,16
89,93
90,0
90,4
90,5
90,6
90,7
90,11
90,13
90,14
90,15
90,27
90,33
90,41
90,43
90,60
90,63
90,74
90,79
90,92
91,0
91,4
91,9
91,25
91,31
91,71
92,0
92,1
92,5
92,6
92,38
93,1
93,47
94,0
94,4
94,5
94,7
94,10
94,13
94,17
94,18
94,21
94,70
94,79
94,91
95,3
95,76
96,4
96,8
96,58
97,1
97,30
97,62
98,2
98,99
99,39
99,54
