from_node,to_node
0,1
0,2
0,3
0,5
0,7
0,9
0,16
0,18
0,23
0,25
0,26
0,27
0,29
0,30
0,31
0,33
0,34
0,37
0,38
0,41
0,42
0,44
0,49
0,50
0,52
0,56
0,62
0,65
0,75
0,76
0,82
0,83
0,91
0,99
1,0
1,3
1,4
1,13
1,17
1,19
1,22
1,23
1,45
1,48
1,58
1,62
1,63
1,71
1,92
1,95
1,99
2,0
2,1
2,8
2,12
2,13
2,14
2,44
2,80
2,95
3,1
3,4
3,18
3,25
3,36
3,48
3,53
3,81
3,87
4,0
4,16
4,33
4,47
4,51
4,56
4,86
4,87
5,0
5,10
5,23
5,25
5,27
5,39
5,42
5,43
6,0
6,1
6,3
6,9
6,14
6,17
6,49
6,93
7,0
7,1
7,9
7,15
7,32
7,39
7,77
7,92
8,6
8,12
8,28
8,34
8,61
8,75
8,86
9,0
9,1
9,6
9,7
9,12
9,26
9,96
10,0
10,3
10,4
10,57
10,66
10,68
10,69
11,1
11,3
11,28
11,58
11,64
11,83
11,97
12,0
12,8
12,43
12,47
12,78
13,0
13,2
13,3
13,7
13,16
13,74
14,0
14,1
14,41
14,51
14,73
14,80
15,0
15,47
15,61
16,1
16,5
16,17
16,90
17,1
17,6
17,55
17,89
18,2
18,5
18,6
18,76
18,98
19,6
19,16
19,50
19,79
20,12
20,46
20,54
20,55
21,1
21,3
21,7
21,14
22,2
22,13
22,15
22,45
23,0
23,24
23,26
23,74
24,5
24,10
24,13
24,46
25,9
25,46
25,82
25,91
26,51
26,77
26,90
26,96
27,0
27,10
27,14
28,5
28,9
28,59
28,84
29,11
29,22
29,68
29,72
30,0
30,26
30,78
31,1
31,18
31,19
32,2
32,67
32,88
33,7
33,24
33,37
34,8
34,43
34,53
35,0
35,18
35,54
36,0
36,4
36,52
37,8
37,71
37,88
38,0
38,11
38,69
39,4
39,24
39,42
40,4
40,6
41,2
41,64
41,85
42,0
42,59
42,60
43,0
43,50
44,20
44,32
44,55
45,0
45,36
46,15
46,32
46,35
47,40
47,45
47,53
48,9
48,12
48,19
49,0
49,1
49,12
50,21
50,23
50,98
51,2
51,18
51,40
52,8
52,21
52,31
53,0
53,48
53,97
54,10
54,30
54,73
55,0
55,11
55,57
56,14
56,65
57,0
58,5
58,30
59,60
59,79
60,10
61,1
61,21
62,22
62,36
63,4
63,94
64,70
64,84
65,0
65,6
66,13
66,89
67,2
67,81
68,0
68,35
69,70
69,85
70,11
70,54
71,0
71,72
72,1
72,8
73,9
73,11
74,7
74,28
75,0
75,25
76,0
76,15
77,4
77,94
78,63
78,67
79,1
79,20
80,29
80,93
81,14
81,20
82,19
82,33
83,52
83,66
84,0
84,44
85,22
85,35
86,0
86,49
87,6
87,34
88,8
88,20
89,3
89,7
90,1
90,3
91,11
91,16
92,15
92,21
93,11
93,39
94,4
94,27
95,2
95,37
96,0
96,7
97,5
97,17
98,10
98,24
99,28
99,31
