from_node,to_node
0,228
0,401
1,184
1,214
1,403
2,21
2,124
2,276
2,479
3,1
3,6
3,19
3,34
3,60
3,95
3,276
4,9
4,25
4,36
4,58
4,79
4,80
4,98
4,99
4,124
4,125
4,168
4,179
4,192
4,219
4,222
4,269
4,278
4,309
4,377
4,466
5,9
5,13
5,43
5,47
5,115
5,388
6,28
6,53
7,65
7,498
8,49
8,220
9,1
9,420
10,20
10,66
10,173
10,272
11,0
11,38
11,158
12,7
12,117
12,337
13,57
13,159
14,33
14,486
15,12
15,213
16,3
16,5
16,12
16,14
16,41
16,232
16,480
16,495
17,0
17,2
17,5
17,12
17,73
17,144
17,157
17,174
17,192
17,353
17,370
17,374
17,410
18,6
18,23
18,71
18,118
18,297
19,2
19,3
19,180
19,240
20,91
20,167
20,305
20,369
20,394
21,1
21,5
21,37
21,143
21,157
21,171
21,185
21,186
21,196
21,270
21,275
21,332
21,359
21,386
21,392
21,472
22,106
22,190
23,4
23,17
24,62
24,453
25,118
25,465
25,466
26,130
26,406
27,1
27,5
27,30
27,497
28,122
28,478
29,9
29,10
29,14
29,55
29,62
29,109
29,137
29,196
29,358
29,432
30,201
30,238
31,0
31,16
31,477
32,69
32,248
32,452
33,34
33,281
34,1
34,361
35,0
35,189
36,12
36,88
37,409
37,436
38,65
38,348
39,2
39,3
39,4
39,19
39,97
39,496
40,27
40,130
41,2
41,33
42,17
42,22
42,114
42,265
42,350
42,364
42,412
43,58
43,127
44,10
44,30
44,188
44,450
45,11
45,25
45,109
46,13
46,40
46,41
46,152
46,336
47,4
47,48
47,334
48,144
48,244
48,350
49,6
49,13
49,39
49,119
49,373
49,464
50,16
50,36
51,38
51,140
51,321
52,0
52,201
52,422
53,3
53,383
54,122
54,464
55,30
55,326
56,44
56,94
56,331
56,428
57,46
57,70
58,5
58,402
59,24
59,57
60,10
60,28
60,29
60,82
60,357
61,18
61,201
62,0
62,1
63,8
63,181
63,221
64,8
64,112
65,25
65,69
65,72
65,193
66,1
66,28
66,408
67,0
67,25
67,100
68,1
68,113
69,8
69,10
70,300
70,352
71,63
71,286
72,0
72,9
72,22
72,37
72,53
72,107
72,118
73,340
73,446
73,482
74,41
74,285
74,425
75,1
75,330
75,378
76,94
76,409
77,94
77,164
78,0
79,5
79,254
79,281
80,10
80,23
80,488
81,13
81,87
81,107
82,63
82,490
83,0
83,171
84,5
84,29
85,84
85,259
85,264
86,0
86,37
87,35
87,404
87,474
88,202
88,491
89,2
89,86
90,0
90,28
90,36
91,113
91,288
92,53
92,457
93,157
93,433
94,2
94,163
95,2
95,121
96,235
96,317
96,483
97,205
97,311
98,39
98,158
99,23
99,36
99,170
100,44
100,305
101,0
101,8
101,33
101,46
101,112
101,161
101,191
101,229
101,283
101,441
102,18
102,87
103,1
103,25
104,51
104,76
105,38
105,167
106,67
106,143
107,8
107,192
107,433
108,17
108,130
109,9
109,363
110,0
110,265
110,268
110,411
111,1
111,135
111,471
112,0
112,149
113,15
113,93
114,153
114,245
114,357
114,362
115,8
115,166
116,12
116,216
116,280
116,284
116,485
117,26
117,73
118,314
118,318
119,17
119,125
119,302
120,6
120,460
121,2
121,26
121,77
121,187
121,273
121,429
122,82
122,103
122,412
123,1
123,27
123,98
124,0
124,58
125,30
125,343
125,349
126,12
126,35
126,38
127,0
127,5
127,180
127,318
128,4
128,18
128,37
128,241
128,407
129,2
129,190
130,29
130,193
131,299
131,329
132,11
132,134
133,36
133,334
134,9
134,15
134,381
134,455
135,292
135,368
136,71
136,191
137,107
137,274
138,107
138,261
139,234
139,278
140,98
140,492
141,2
141,22
141,469
142,1
142,5
142,83
143,99
143,416
144,2
144,58
145,14
145,93
146,0
146,2
146,5
146,16
146,19
146,34
146,103
146,144
146,162
146,208
146,213
146,216
146,326
146,351
146,481
147,72
147,78
148,152
148,359
149,2
149,3
149,19
149,97
149,142
149,146
149,185
149,186
149,187
149,207
149,298
149,324
149,328
149,331
149,368
149,373
149,378
150,199
150,301
151,271
151,495
152,383
152,430
153,205
153,230
154,226
154,328
155,1
155,13
155,16
155,22
155,31
155,32
155,37
155,48
155,54
155,63
155,103
155,126
155,172
155,173
155,175
155,196
155,399
155,428
155,463
156,0
156,12
156,239
157,2
157,26
158,2
158,6
158,54
158,228
158,252
158,309
158,415
159,0
159,118
159,386
160,95
160,438
161,14
161,445
162,0
162,135
163,0
164,14
164,92
164,146
164,166
164,203
164,395
165,77
165,261
166,12
166,54
166,90
166,215
167,2
167,20
167,21
167,104
168,47
168,205
168,223
169,82
169,231
170,39
170,86
171,75
171,181
171,333
172,29
172,188
172,208
172,225
173,0
173,12
174,0
174,451
175,38
175,462
176,7
176,8
176,48
176,75
176,122
176,414
176,446
177,0
177,63
178,203
178,379
179,0
