fp,sim_re,p_re,in_deg
0.39670254204594246,0.398,0.3967025420459435,0.0
0.5225322797044424,0.522,0.5237215113661493,25.0
0.17314022439878463,0.163,0.17481559971021324,79.0
0.15603268661990677,0.156,0.15611694248588714,193.0
0.08083252432432608,0.078,0.08175875181655862,99.0
0.6475212714915319,0.659,0.6467561852260623,214.0
0.07627284709053128,0.077,0.07951772815302426,21.0
0.5536864551420587,0.548,0.5513206047355281,13.0
0.36560655277954046,0.365,0.36686146429480865,105.0
0.06604009076753425,0.067,0.06722281836906399,34.0
0.10551547898631553,0.094,0.10811873642953812,48.0
0.07220563374694533,0.067,0.07299682122593387,86.0
0.7241141229371244,0.709,0.7245916501723829,177.0
0.3921532090725155,0.395,0.39097634382027063,47.0
0.095264699805927,0.113,0.09764977317836984,30.0
0.24092122808266503,0.238,0.25320006977533305,8.0
0.34346888048856816,0.348,0.34447969347920193,80.0
0.1892314075806646,0.211,0.1904093747315501,164.0
0.524662466965772,0.525,0.5232843967884436,44.0
0.29553599196592695,0.318,0.3024934437582919,32.0
0.1343196860902255,0.117,0.1422774572432384,17.0
0.13340457129081917,0.132,0.13439553627274076,145.0
0.08836154604688651,0.09,0.09064727095236164,56.0
0.13355405639266582,0.146,0.13701454917540382,22.0
0.12146259694589978,0.123,0.12673475337428958,20.0
0.39029588933565973,0.412,0.400068002469311,14.0
0.5212895323897699,0.503,0.5215322059597233,128.0
0.05974551101168413,0.074,0.06195169728185676,21.0
0.672884249080698,0.667,0.671439909284904,146.0
0.6321336577267744,0.622,0.6337801122721788,75.0
0.5574382107895459,0.551,0.5506535203939604,13.0
0.36086221596130696,0.357,0.36153402744778224,136.0
0.1418435950215584,0.143,0.14310459499457912,92.0
0.10374760688272255,0.12,0.10495940511799058,170.0
0.5427463126963523,0.532,0.5417999995499415,59.0
0.4017642059007994,0.398,0.404243539927011,55.0
0.10847682553280458,0.1,0.11080940075116108,31.0
0.6379536985726868,0.636,0.637563454755567,32.0
0.3633547602278423,0.378,0.37958457460732975,3.0
0.2734467880774314,0.303,0.30371988222300866,3.0
0.5233624029610733,0.498,0.5228567306949532,48.0
0.6798760015554828,0.662,0.6589900840587737,3.0
0.7280910019636593,0.73,0.7250750140658981,30.0
0.439459284630912,0.444,0.4398040651379801,55.0
0.49792460812105777,0.509,0.49538317100897084,83.0
0.44224254813253483,0.427,0.44382304936953276,67.0
0.13209166659719096,0.144,0.1335659046548528,124.0
0.25208064762521776,0.257,0.2555228597963274,31.0
0.1385295194076137,0.143,0.13899899594721965,142.0
0.4352412925783421,0.443,0.4357541494864252,28.0
0.36424465295806574,0.397,0.3676511956290362,16.0
0.6426771893563157,0.657,0.6426659630966871,95.0
0.22928608312430132,0.24,0.230095218081133,167.0
0.21479652376077452,0.203,0.2153463576631897,135.0
0.08667490521813381,0.127,0.12558470255929285,2.0
0.30830497542923996,0.306,0.3106205631077873,115.0
0.09464374367017936,0.105,0.09563638564294293,106.0
0.5826158940706558,0.576,0.58170358235917,96.0
0.1319639352930556,0.115,0.13294021136525824,94.0
0.07760541579775715,0.075,0.07904926238401376,75.0
0.1429314879961583,0.151,0.1444943268050569,72.0
0.25223821460265927,0.232,0.2527971825173739,86.0
0.172268709252003,0.237,0.23719158146710648,1.0
0.7705045019776002,0.757,0.7689260482956398,68.0
0.7505474843089973,0.762,0.7500003331646395,105.0
0.2744928100118301,0.273,0.2743369466868473,118.0
