fp,sim_re,p_re,in_deg
0.3697275337651065,0.416,0.36972753376511114,0.0
0.10307595192193353,0.12,0.10422552817679241,124.0
0.33684939968885363,0.338,0.3385264888176267,54.0
0.7322390990881871,0.712,0.7222488978589388,7.0
0.09200359292172866,0.095,0.09783579129989607,15.0
0.6772535577919068,0.688,0.6784532941509236,81.0
0.7118598904961073,0.729,0.7066942928329368,35.0
0.24666682780590132,0.277,0.26978156319581337,4.0
0.4569430678276559,0.466,0.4577767519908349,37.0
0.2325371788896804,0.271,0.26092386992841654,3.0
0.22990937870991124,0.212,0.23175301973481122,33.0
0.40731717608119133,0.412,0.4191064087188583,2.0
0.4154602266533943,0.416,0.4160328362517207,79.0
0.3604610328321458,0.36,0.37270332418188534,2.0
0.07349053909661418,0.065,0.07447224407750883,47.0
0.649714812140437,0.663,0.6475798727675677,40.0
0.7408872963912245,0.728,0.7402289897906587,102.0
0.7231224727750823,0.74,0.7218325800383792,17.0
0.22754105106778466,0.237,0.22890695832139862,75.0
0.08527456013201629,0.11,0.11953445215522074,2.0
0.18834412740997108,0.205,0.1911631100365332,43.0
0.2719160506537758,0.262,0.27443999503129435,49.0
0.19138802404861965,0.206,0.200208585057907,11.0
0.14176879125337916,0.143,0.1514839794319462,12.0
0.524394375618801,0.504,0.5241716694526222,3.0
0.09450779894983086,0.101,0.09482303368068877,87.0
0.7077102432629668,0.716,0.7043569506728795,44.0
0.0889737528981418,0.084,0.09015869158640387,67.0
0.07390648578886028,0.067,0.07811039127807287,18.0
0.3964486274340955,0.39,0.39712066554303765,22.0
0.15907856162870138,0.171,0.1610141725249432,51.0
0.2598811259433844,0.278,0.261527347427516,96.0
0.18771262767681396,0.184,0.1991876114291273,9.0
0.06190175269142728,0.072,0.06455898772277999,17.0
0.3261331029085186,0.341,0.3250637833086056,1.0
0.7023354106185578,0.67,0.6705426600169231,1.0
0.07612131369767017,0.077,0.0770357014535414,81.0
0.33505978048162754,0.369,0.36334738024779367,3.0
0.7500411348372429,0.726,0.745110330134972,44.0
0.1010026128487449,0.103,0.10192103127025355,59.0
0.0959937768054312,0.121,0.1339632039291105,2.0
