fp,sim_re,p_re,in_deg
0.04116276858120327,0.03,0.04116276858120315,0.0
0.32655774406809135,0.35,0.3333566139525052,36.0
0.5664135782215518,0.56,0.5587686472211016,85.0
0.5281285463771719,0.51,0.5189449866583687,56.0
0.2077728592126904,0.23,0.21670766914679981,14.0
0.14856936846764568,0.16,0.15452600012117942,47.0
0.11905951067429688,0.2,0.12917060992593532,7.0
0.18152676283161784,0.2,0.21304087023389276,5.0
0.43291502111726266,0.45,0.4301004805677472,69.0
0.7329658421908362,0.7,0.7350523956001682,77.0
0.2821937284149121,0.21,0.2834531705412783,22.0
0.26355595620051897,0.31,0.2646111979375651,46.0
0.07532209261469991,0.14,0.07475503385128378,115.0
0.09101184075316271,0.12,0.09903087523183114,11.0
0.12441788557872668,0.12,0.13174100758494472,39.0
0.4670283672572759,0.42,0.4692247123701705,43.0
0.6726161246625215,0.57,0.6652035908260894,5.0
0.40727700101259745,0.43,0.38884186973031076,1.0
0.3108231277661596,0.26,0.3113606099706696,58.0
0.4974315888915062,0.5,0.5023362184555993,79.0
0.34238580059712787,0.39,0.34267573089265163,77.0
0.7494589756693266,0.81,0.7471505902323996,45.0
0.5365932015785537,0.59,0.5352348349624071,19.0
0.8368190066424394,0.72,0.7194780496595868,1.0
0.6101697737516301,0.56,0.6077126162591746,61.0
0.056189727531347544,0.03,0.056941873315420166,77.0
0.09076840274797848,0.13,0.1035117178667345,5.0
0.6816203654663036,0.66,0.6722421914315556,7.0
0.30870429390082943,0.26,0.30543456599131624,163.0
0.6556223630888466,0.7,0.6549404714842366,153.0
0.24483677340565257,0.21,0.24985075549782668,35.0
0.1607628011282255,0.22,0.16236137250157698,53.0
0.39474894943976135,0.44,0.38468841034758633,59.0
0.39025444331983605,0.42,0.38799878658622433,70.0
0.6350336342737919,0.66,0.5887257907115074,1.0
0.10130723421407872,0.16,0.11018946727196548,21.0
0.30706719696302054,0.31,0.31750282928114826,38.0
0.3186655170030359,0.32,0.3167760887043719,41.0
0.7631674373341171,0.8,0.7611588122268682,68.0
0.10738527494079264,0.13,0.10920388784008765,47.0
0.20353981672933985,0.19,0.19749967939348068,55.0
0.5709413465881052,0.63,0.5719790745821404,75.0
0.10691343255928709,0.13,0.10838418672068462,40.0
0.20246179746120385,0.2,0.19993125290656125,45.0
0.29789065466422704,0.33,0.29829888863617954,39.0
0.23445979625084978,0.26,0.23477599501837304,43.0
0.049787347414954386,0.12,0.08704241800246894,1.0
0.5014106275353212,0.53,0.5050953497501455,11.0
0.054943418677455,0.04,0.058180868015433165,39.0
0.08506494890266281,0.08,0.08674249191660363,31.0
0.7083594929958019,0.71,0.7033553907534084,40.0
0.7611084904859217,0.74,0.7587272067701768,156.0
0.7436613841233758,0.73,0.7454381406978673,96.0
0.3036089915074358,0.32,0.30754053252234426,67.0
0.161852010159783,0.13,0.16306038723091185,59.0
0.054867934400780305,0.05,0.05972676922370287,15.0
0.37797518261613794,0.43,0.382274550111159,41.0
0.8156284197900493,0.82,0.7733427321032292,6.0
0.7388450393497066,0.73,0.7225699630152017,26.0
0.5795222241523992,0.56,0.5900240822337792,13.0
0.5019922967183861,0.49,0.5062938776578312,50.0
0.6569408222518955,0.61,0.6451107056866134,4.0
0.10893879174476406,0.06,0.10880327920367831,32.0
0.06981322173797144,0.03,0.07074085547077699,48.0
0.38462401160467674,0.31,0.37818771264427686,58.0
0.3401383613240222,0.26,0.3367363332428894,29.0
0.0911029311870929,0.13,0.0931125291942775,49.0
0.1372634184218141,0.11,0.137896524148933,23.0
0.22059507799283196,0.3,0.21742174224667699,34.0
0.18283816354907756,0.21,0.19587143336498303,12.0
0.24572513722092038,0.3,0.24831346215824135,100.0
0.39733683744674786,0.51,0.3910858910226976,60.0
0.09923978808922485,0.07,0.09914643223147315,102.0
0.7830622208355478,0.79,0.7667983225456969,19.0
0.05714172355106795,0.06,0.05794148887870379,29.0
0.22205811171490974,0.29,0.23256294445567952,38.0
0.2505646903936678,0.29,0.28033725142485855,6.0
0.2643379904922698,0.3,0.3232798155875094,1.0
0.06526975400603119,0.04,0.06604730195325527,79.0
0.5477584758597094,0.57,0.5452733195860454,19.0
0.6373789405080923,0.59,0.624491833253157,30.0
0.9441023198170777,0.93,0.9115288647498698,1.0
0.17251506556238083,0.19,0.17305718029605419,44.0
0.3615281713342723,0.27,0.3637377737520033,55.0
0.6351185222275282,0.64,0.6299133649506747,58.0
0.6942034070033014,0.69,0.6942064254206151,30.0
0.5074832870542889,0.54,0.5165364617561504,87.0
0.08831357753069247,0.09,0.08515915922512221,26.0
0.5907778164152985,0.68,0.586640145220712,24.0
0.29240811059658656,0.28,0.2878696988205004,14.0
0.06002827812022005,0.03,0.05960097376993069,54.0
0.08843385333575082,0.13,0.0892908294003162,104.0
0.18166940827775047,0.2,0.1819994302746105,33.0
0.3761988129983759,0.29,0.3806848635344723,19.0
0.19236613609350917,0.1,0.195252406669419,34.0
0.7509023703999208,0.78,0.7498190651067539,62.0
0.42104527598603336,0.4,0.417234772311357,46.0
0.22900727240599617,0.16,0.23372891114919234,57.0
0.08106103185972535,0.09,0.08190520906251057,52.0
0.5271496786845248,0.53,0.5250259083545002,10.0
0.7731857774101434,0.76,0.7704269639426826,38.0
0.17534450371830246,0.16,0.18340910874739333,3.0
0.1663628426292788,0.21,0.17001557553127075,45.0
0.4700453509413176,0.46,0.45826145084620895,29.0
0.25299812505730257,0.21,0.2531765877438607,61.0
0.41776092666321896,0.44,0.4197356374710048,70.0
0.1450513562593405,0.14,0.14686251858133492,219.0
0.6551909831397459,0.64,0.6537729171316616,26.0
0.34965576699220735,0.31,0.34339990258838243,34.0
0.3188221680382717,0.21,0.3120448170838286,26.0
0.4114648425097247,0.37,0.4034956671316317,31.0
0.4446913904227704,0.37,0.44445687497180425,38.0
0.3704228683254587,0.3,0.3752160759780941,73.0
0.08467361348271585,0.14,0.09243452925097731,18.0
0.5963572871065592,0.56,0.5761409374383076,14.0
0.11005249925862626,0.09,0.10846954152341658,184.0
0.4716735367831161,0.47,0.4589811151663312,6.0
0.10990651856179046,0.17,0.11356754667597121,43.0
0.7305751530069517,0.74,0.7243642074944202,62.0
0.07458945843244313,0.06,0.0753782402253194,53.0
0.3043428360538787,0.27,0.30548831197770304,20.0
0.0856536912596646,0.03,0.08699363689453087,51.0
0.2791131641283323,0.28,0.280927901937588,17.0
0.3940632093612466,0.4,0.3895900120764256,27.0
0.256282614337497,0.32,0.25359789204429545,20.0
0.10805952791993567,0.09,0.1155863181785015,23.0
0.26134121425643697,0.28,0.2606050151674163,131.0
0.6386254069473848,0.72,0.6403582840373231,22.0
0.10144365207105421,0.11,0.10181639260335162,55.0
0.24949466456666647,0.31,0.2485143141119146,34.0
0.7757394311392096,0.74,0.7751622881653715,46.0
0.23076744206097466,0.25,0.22545890084646258,16.0
0.07737365462264967,0.09,0.07649967538315817,15.0
0.12044401277372863,0.15,0.12068796024931167,58.0
0.34244964036610104,0.37,0.3407016275000525,101.0
0.4251666949810693,0.41,0.42933937323190924,54.0
0.4230582595903043,0.41,0.416326552028209,18.0
0.6050777469305637,0.57,0.5927560229731288,1.0
0.20648209636837767,0.14,0.21382370933914646,46.0
0.7438446618093193,0.82,0.7350146680084703,18.0
0.10187144940772697,0.1,0.10668720866766888,49.0
0.42568647370208323,0.37,0.4360288815099107,44.0
0.2268814976620145,0.24,0.23296094353441718,62.0
0.3200154890751513,0.32,0.3259440287802462,13.0
0.5459791055079939,0.52,0.5334728070160891,20.0
0.24061894256234062,0.18,0.23647528604370519,71.0
0.7142166387149896,0.71,0.7048738682006399,74.0
0.11243570235628941,0.13,0.13032068267867605,2.0
0.5674802733578936,0.58,0.5550768794620156,39.0
0.31645749020667846,0.35,0.31095914233976385,54.0
0.07145060444831686,0.06,0.07101943462634565,105.0
0.48397400761327036,0.44,0.48317200307128205,44.0
0.7665533449850492,0.86,0.7651797586155183,88.0
0.4102655328660093,0.44,0.4039861782652401,15.0
0.28423687256773444,0.24,0.28112214976199673,149.0
0.060315989622909405,0.06,0.06046676295147889,35.0
0.22932995826364722,0.29,0.24591403592327207,7.0
0.5030797826625676,0.42,0.5022267828997088,56.0
0.4822201407241197,0.51,0.48559369644741746,15.0
0.3246171955199305,0.33,0.3275961201292565,53.0
0.6033586594600571,0.55,0.5993550688218446,75.0
0.10846513424164939,0.1,0.11082286453431056,25.0
0.062198655912113265,0.08,0.0633125463047741,21.0
0.06462449280443194,0.06,0.06627615803361038,53.0
0.2740495282834229,0.34,0.27541812298951096,82.0
0.1555870436340212,0.09,0.15775400513340293,47.0
0.7295165114358619,0.59,0.6853953807260961,4.0
0.39394387763794336,0.38,0.39693997024887406,61.0
0.30818614441233383,0.33,0.3115570488634112,122.0
0.3885454757450374,0.38,0.3868384944998141,55.0
0.6834783965582385,0.65,0.6920219891755308,17.0
0.19137976876885332,0.12,0.19579028392342412,21.0
0.47058415876968895,0.55,0.479592963669551,13.0
0.20958269497780802,0.23,0.22035151782865575,22.0
0.47447747264878903,0.43,0.4645425787827543,22.0
0.716662889965578,0.75,0.7085913228701606,52.0
0.5137461201200018,0.47,0.49977802670721827,22.0
0.339468557500616,0.39,0.339927644242419,125.0
0.355459700181046,0.4,0.3613061721182585,50.0
0.3192696220131226,0.33,0.3180743865630071,63.0
0.22894181668733382,0.25,0.22721859770887998,54.0
0.17464355418301392,0.11,0.1747616196052346,30.0
0.44805107354549634,0.47,0.4675406843169807,2.0
0.0729515711162878,0.11,0.07346337025276932,56.0
0.1759547500257741,0.19,0.1741479902991237,35.0
0.5877289777770133,0.61,0.5752354837068274,53.0
